English,Hausa
Many children die of starvation in Africa.,Yara da dama na mutuwa sakamakon matsananciyar yunwa a Afirka.
Many men were badly wounded in the battle.,An ji wa mazaje da dama mummunan ciwo a yaƙin.
Many people came to the meeting yesterday.,Mutane da dama sun zo taron a jiya.
Many scientists are working in this field.,Masana kimiyya da dama suna aiki a wannan fannin.
Many weeds were growing among the flowers.,Ciyayi da dama suna girma a cikin fulawoyin.
Many young people in Spain are unemployed.,Matasa da dama a ƙasar Sifaniya ba su da aikin yi.
Mary doesn't wear as much makeup as Alice.,Mary ba ta yin kwalliya sosai kamar yadda Alice ke yi.
Mary had a dream that she won the lottery.,Mary ta yi mafarkin cewa ta ci cacar loto.
Mary is the girl wearing the yellow dress.,Mary ita ce yarinyar da ta sanya kaya mai shuɗin rawaya.
Mary knows that Ali isn't her real father.,Mary ta san cewa Ali ba shi ne mahaifinta na haƙiƙa ba.
Mary mixed the ingredients to make a cake.,Mary ta cakuɗa kayan haɗin don haɗa kek.
Mary named the baby after her grandmother.,Mary ta sanya wa jaririyar sunan kakarta.
Mary received many gifts for her birthday.,Mary ta samu kyautuka da dama na bikin ranar zagayowar haihuwarta.
Mary was wearing a knee-length blue dress.,Mary tana sanye da shuɗin tufafi wanda tsayinsa ya zo ƙwauri.
Mary withdrew her application for the job.,Mary ta janye daga neman aikin da take.
May I talk to you about something serious?,Shin zan iya magana da kai kan wani abu muhimmi?
Maybe it will be exactly the same for him.,Wataƙila zai zama iri ɗaya a gare shi.
Maybe we should blame Ali for what we did.,Wataƙila sai mu ɗora wa Ali laifin da muka aikata.
Mexico is a neighbor of the United States.,Ƙasar Mexico maƙwabciya ce ga ƙasar Amurka.
Mistakes like these are easily overlooked.,Kusakurai irin waɗannan ana kau da kai gare su cikin sauƙi.
Mom is washing the dog because he's dirty.,Mama tana wanke karen saboda ya yi datti.
Mom remained in the car while Dad shopped.,Mama ta zauna a cikin mota yayin da baba yake siyayya.
Mom said that we can stay up late tonight.,Mama ta ce yau za mu iya yin dare.
Most Hollywood movies have a happy ending.,Yawancin fina-finan Hollywood ƙarshen su da farinciki yake ƙarewa.
"Most people enjoy starry, peaceful nights.",Yawancin mutane suna jin daɗin dare mai ɗauke da taurari da kuma nutsuwa.
Mother bought me a nice dress last Sunday.,Mama ta siya min tufafi masu kyau ranar Lahadi da ta gabata.
Mother divided the cake into eight pieces.,Mama ta raba kek ɗin gida takwas.
Mt. Fuji is noted for its beautiful shape.,Ana gane tsaunin Mt Fuji ne saboda kyawun siffarsa.
My French teacher is the same age as I am.,Shekaruna ɗaya da malamin Faransancina.
My alarm clock didn't go off this morning.,Ƙararrawar alam ɗina bai mutu ba a safiyar yau.
My association with him did not last long.,Alaƙata da shi ba ta daɗe sosai ba.
My association with them didn't last long.,Alaƙata da su ba ta daɗe sosai ba.
My aunt showed me how to make good coffee.,Innata ta nuna min yadda ake haɗa kofi mai daɗi.
My boss has never invited me to her house.,Shugabata ba ta taɓa gayyata ta gidanta ba.
My brother didn't like her from the start.,Tun fari ɗan uwana ba ya son ta.
My computer crashed and I lost everything.,Na'urar kwamfutata ta lalace kuma na yi asarar komai.
My doctor has an excellent bedside manner.,Likitana yana da mu'amalar kula da mara lafiya mai  kyau.
My driver's license will expire next week.,Wa'adin lasisin tuƙina zai cika mako mai zuwa.
My father converted a garage into a study.,Mahaifina ya mayar da garejin mota zuwa ɗakin karatu.
My father didn't say a word during dinner.,Mahaifina bai ce komai ba yayin cin abincin daren.
My father died when I was seven years old.,Mahaifina ya rasu lokacin da nake shekara bakwai.
My father gave me a puppy for my birthday.,Mahaifina ya bani ɗan kare don murnar zagayowar haihuwata.
My father had me change a tire on his car.,Mahaifina ya saka ni na canja masa taya a motarsa.
My father has been out of work for a year.,Mahaifina ba shi da aiki tsawon shekara guda.
My father has quit smoking for his health.,Mahaifina ya daina shan taba saboda lafiyarsa.
My father has recently come back to Japan.,Mahaifina ya dawo Japan kwanan nan.
My father often helps me with my homework.,Yawanci mahaifina yana taimaka min da aikin gidana.
My father used to read me bedtime stories.,Mahaifina ya kasance  yana karanta mini labaran kwanciya bacci.
My figures don't seem to tally with yours.,Kamar alƙalumana ba za su yi daidai da naka ba.
My friends congratulated me on my success.,Abokina ya taya ni murna sakamakon nasarata.
My grandfather gave me a birthday present.,Kakana ya ba ni kyautar murnar ranar zagayowar haihuwata.
My grandfather takes a walk every morning.,Kakana yana yin tafiyar ƙafa a kowacce safiya.
My grandfather was killed in World War II.,An kashe kakana a Yaƙin Duniya na 2.
My grandmother gave me more than I wanted.,Kakata tana ba ni abu sama da yadda nake buƙata.
My mission is to photograph the documents.,Kakata ta ba ni sama da yadda nake so.
My mother doesn't speak English very well.,Mahaifiyata ba ta iya magana da Turanci ba sosai.
My mother forgot to add salt to the salad.,Mahaifiyata ta manta ba ta saka gishiri ba a kwaɗon.
My mother taught me how to make miso soup.,Mahaifiyata ta koya min yadda ake haɗa miyar miso.
My mother told me I have to behave myself.,Mahaifiyata ta shaida min cewa na shiga hankalina.
My mother wrapped the sandwiches in paper.,Mahaifiyata ta nannaɗe sanwic ɗin a takarda.
My plan for the summer is to go to Europe.,Tsarina a wannan bazarar shi ne na tafi Nahiyar Turai.
My right leg was injured in that accident.,Ƙafata ta dama ta samu rauni a wannan haɗarin.
My son thinks women are stronger than men.,Ɗa na yana tunanin cewa mata sun fi maza ƙarfi.
My trip to Australia is officially booked.,Na yi tanadin tafiya zuwa Ostreliya a hukumance.
My uncle has been diagnosed with leukemia.,An gano cewa kawuna yana da cutar kansar jini.
My uncle has lived in Paris for ten years.,Kawuna ya zauna a Paris tsawon shekara goma.
My wife studies until 10 o'clock at night.,Matata tana yin karatu har zuwa goma dare.
Never have I seen such a beautiful sunset.,Ban taɓa ganin faɗuwar rana mai kyau haka ba.
New York is the busiest city in the world.,Birnin New York shi ne birni mafi hada-hada a duniya.
New blankets were distributed to the poor.,An raba wa talakawa sababbin barguna.
Next year my birthday will fall on Sunday.,Shekara mai zuwa ranar zagayowar haihuwata za ta kama ranar Lahadi.
"No matter how bad you feel, don't give up.","Komai rashin daɗin da ka ji, kar ka sare."
"No matter what happens, I'll stand by you.","Ko menene ya faru, zan kasance tare da kai."
No one ate any of the cookies that I made.,Babu wanda ya cinye biskit ɗin da na yi ko ɗaya.
No one ever tells me anything around here.,Babu wanda ya taɓa faɗa min komai a nan wajen.
No one knows what'll happen in the future.,Babu wanda ya san me zai faru nan gaba..
No passengers were killed in the accident.,Babu fasinja ko ɗaya da aka kashe a hatsarin.
No woman could measure up to his standard.,Babu mace da za ta iya cika sharaɗinsa.
"No, I'm not a teacher. I'm only a student.","A'a, ni ba malami ba ne, ni ɗalibi ne kawai."
Not all Americans shared Wilson's opinion.,Ba dukkanin 'yan Amurka ne ke da ra'ayin Wilson ba.
"Not knowing what to answer, I kept silent.","Ban san amsar da zan bayar ba, sai na yi shiru."
Nothing can prevent her from marrying him.,Babu abin da zai hana ta aurensa.
Nothing happens unless you make it happen.,Babu abin da yake faruwa sai ka yi fafutukar faruwarsa.
Nothing is more important than friendship.,Babu abin da ya kai abota muhimmanci.
Now is when you have to make up your mind.,Yanzu ne za ka yanke shawara.
"Nowadays, you can't buy much for a dollar.","A yanzu, ba za ka iya siyan abubuwa da yawa ba a dala ɗaya."
"OK guys, I really need something to drink.",haƙiƙa ina buƙatar wani abu na sha.
One man's trash is another man's treasure.,Abincin wani gubar wani.
One must be responsible for one's conduct.,Dole ne mutum ya ɗauki alhakin halayyar kansa.
One of my favorite songs is Hungry Spider.,Ɗaya daga cikin waƙoƙin da na fi so ita ce Hungry Spider.
Only a few TV programs are worth watching.,Shirye-shiryen talabijin kaɗan ne suka cancanci a kalle su.
Only a few students understood the matter.,Ɗalibai kaɗan ne suka fahimci al'amarin.
Open the curtains and let the sunshine in.,A buɗe labulen don hasken rana ya shigo.
Osaka is the second largest city of Japan.,Osaka shi ne birni na biyu mafi girma a Japan.
Our army broke through the enemy defenses.,Sojojinmu sun keta cikin shingen tsaron abokan gabarmu.
Our basic problem is the lack of know-how.,Tushen matsalarmu shi ne rashin sanin yadda ake yi.
Our car is equipped with air conditioning.,Motarmu tana da injin sanyaya iska.
"Our children like dogs, but I prefer cats.","Yaranmu suna son kare, amma na fi son mage."
Our college uses far too much electricity.,Kwalejinmu tana amfani da wutar lantarki sosai.
Our escape was nothing short of a miracle.,Kuɓutarmu ba komai ba ce face ikon Allah.
Our problems are nothing compared to hers.,Matsalarmu ba komai ba ce idan aka kwatanta da tata.
Over-sleeping is no excuse for being late.,Bacci mai nauyi ba uzuri ne na makara ba.
Parents need to cooperate with each other.,Akwai buƙatar iyaye su haɗa kawunansu.
Parliament approved the new law last week.,Majalisa ta amince da sabuwar dokar makon da ya gabata.
People sometimes make illogical decisions.,Wani lokacin mutane suna yanke hukunci ba tare da tunani ba.
Perhaps Ali knows something that we don't.,Wataƙila Ali ya san abin da ba mu sani ba.
Philosophy is often regarded as difficult.,Yawanci ana ɗaukar ilimin Falsafa abu mai wahala.
"Pick on somebody your own size, you bully.","Ka nemi daidai da kai mana, kai mai cin zali."
Playing the piano is her favorite pastime.,Buga fiyano shi ne abin da ta fi so a lokacin shaƙatawa.
Please call me up between seven and eight.,Don Allah ka kira ni daga ƙarfe bakwai zuwa takwas.
Please don't pry into my personal affairs.,Don Allah kar ka yi min shigege cikin rayuwata.
Please don't use more water than you need.,Kada ka yi amfani da ruwan da yafi ƙarfin buƙatarka.
Please drink the beer before it goes flat.,Don Allah ka sha giyar kafin kumfarta ta kwanta.
Please fill the teapot with boiling water.,Don Allah ka cika tukunyar shayin da tafasashshen ruwa.
Please get the clothes in before it rains.,Don Allah ka shigo da tufafin kafin ruwa ya sauko.
Please give me something to kill the pain.,Don Allah ka ba ni wani abu da zai kashe min ciwon.
Please knock on the door before you enter.,Don Allah ka ƙwanƙwasa ƙofa kafin ka shiga.
Please let me sleep for five more minutes.,Don Allah ɗan bar ni na yi bacci na minti biyar.
Please make up your mind once and for all.,Don Allah ka yanke shawararka ta ƙarshe kawai.
Please move this stone from here to there.,Don Allah matsar da dutsen nan daga nan zuwa can.
Please promise me you won't do that again.,Don Allah ka yi min alƙawarin ba za ka sake yin hakan ba.
Please promise you'll never do that again.,Don Allah ka yi alƙawarin cewa ba za ka sake yin hakan ba.
Please put your waste in the bins outside.,Don Allah ka zuba shararka a cikin kwandon shara da yake waje.
Please tell me how to pronounce this word.,Don Allah faɗa min yadda ake furta wannan kalmar.
Please tell me the answer to the question.,Don Allah faɗa min amsar wannan tambayar.
Please tell me the way to the post office.,Don Allah faɗa min hanyar zuwa gidan waya.
Please wake me up at six tomorrow morning.,Don Allah ka tashe ni da ƙarfe shida gobe da safe.
Plenty of people were waiting for the bus.,Mutane da dama suna jiran motar bas ɗin.
Poverty is still the major cause of crime.,Har yanzu talauci shi ne babban abin da yake jawo laifuka.
President Lincoln accepted the invitation.,Shugaban ƙasa Lincoln ya amshi gayyatar.
Push all the desks back against the walls.,Ka tura dukkanin teburan zaman jikin bango.
Put it someplace where no one will see it.,Ka ajiye a wurin da babu wanda zai gan shi.
Quakers believe that all people are equal.,Quakers sun yi imani da cewa mutane dukkaninsu daidai su ke.
Reckless driving will lead to an accident.,Tuƙin ganganci yana janyo hatsari.
Remember that we are all in the same boat.,Ka tuna da cewa dukkaninmu jirgi ɗaya ya kwaso mu.
Rutherford Hayes was born in Ohio in 1822.,An haifi Rutherford Hayes an Ohio a shekarar 1822.
Several American presidents were murdered.,An kashe shugabannin Amurka da dama.
Shakespeare was a contemporary of Marlowe.,Shakespeare ya rayu da Marlowe zamani ɗaya.
She acted as if she knew nothing about it.,Ta nuna kamar ba ta san komai a kan hakan ba.
She asked me how long ago my parents died.,Ta tambaye ni tun yaushe iyayena suka rasu.
She bought a hair brush and a tooth brush.,Ta siyo matajin kai da burushin goge baki.
She bought a handkerchief for ten dollars.,Ta siyo hankici a dala goma.
She called to tell him that she'd be late.,Ta kirawo don ta shaida masa cewa za ta makara.
She couldn't convince him to ride a horse.,Ta kasa gamsar da shi a kan ya hau doki.
She deliberately ignored me on the street.,Tana sane ta yi banza da ni a kan titi.
She depends on her husband for everything.,Ta dogara da mijinta a kan komai.
She didn't even try to do the right thing.,Ba ta ma yi ƙoƙarin yin abin da ya dace ba.
She didn't show up at the party yesterday.,Ba ta zo wajen bikin murnar ba jiya.
She doesn't know what she's talking about.,Ba ta san me take faɗa ba.
She explained the reason why she was late.,Ta yi bayanin dalilin da ya sa ta makara.
She got a master's degree three years ago.,Ta yi digirinta na biyu shekaru uku da suka gabata.
She got married against her father's will.,Ta yi aure ba bisa wasiyyar mahaifinta ba.
She had good reason to file for a divorce.,Tana da dalili mai ƙarfi na neman saki.
She has a tattoo of a lizard on her thigh.,Tana da shashshawar ƙadangare a kan cinyarta.
She has an extraordinary ability in music.,Tana da ƙwarewa ta musamman a ɓangaren kiɗa.
She has grown into a beautiful young lady.,Ta girma ta zama kyakkyawar budurwa.
"She is attractive, but she talks too much.","Tana da ɗaukar hankali, amma ta fiya surutu."
She is busy preparing for the examination.,Ta mayar da hankalinta gabaɗaya kan shirin jarrabawa.
She is not as beautiful as she was before.,Kyawunta na yanzu bai kai na da ba.
She is not less beautiful than her sister.,Ƙanwarta ba ta fi ta kyau ba.
She is responsible for this broken window.,Ita ce ke da alhakin wannan tagar da ta fashe.
She is very good at imitating her teacher.,Ta ƙware wajen kwaikwayon malaminta.
She is well known in both India and China.,Ita sananniya ce sosai a ƙasar Sin da kuma Indiya.
She keeps a record of everything she buys.,Tana adana bayanan dukkanin abin da ta siya.
She knows a lot about the latest fashions.,Ta san abubuwa da dama dangane da samfuran ɗinkin tufafi.
She looked as if she hadn't eaten in days.,Ta zama kamar wacce ta yi kwanaki ba ta ci abinci ba.
She looked as though she had seen a ghost.,Ta zama kamar irin wacce ta ga fatalwa.
She looks pretty no matter what she wears.,Ko me ta saka yana yi mata kyau.
She lost her memory in a traffic accident.,Ta manta komai a wani haɗarin mota.
She loves the child as if it were her own.,Tana son yaron kamar ka ce ɗanta ne.
She made up for lost time by working hard.,Ta maye gurbin lokacin da ta ɓata ta hanyar aiki tuƙuru.
She managed to carry all the bags herself.,Ta ɗauki jakankunan da kanta.
She may have left her car key in her room.,Wataƙila ma ta bar mukullin motarta a ɗakinta.
She must have known that she had a cancer.,Dole ma ta san cewa tana da cutar daji.
She must have visited England last summer.,Tabbas ta kai ziyara Ingila a bazarar da ta gabata.
She never dreamed she'd meet him overseas.,Ba ta taɓa tunanin za ta haɗu da shi a ƙasar waje ba.
She published the book at her own expense.,Ta wallafa littafin da kuɗinta.
She selected a hat to match her new dress.,Ta zaɓi malafar da ta dace da tufafinta.
She smiled and accepted my little present.,Ta yi murmushi ta karɓi 'yar kyautar tawa.
She sometimes has her mother cut her hair.,Wani lokacin mahaifiyarta ce take yi mata aski.
She soon adjusted herself to village life.,Kwanan nan ta saita rayuwarta zuwa irin ta ƙauye.
She stayed at home all day long yesterday.,Jiya gaba ɗaya a gida ta zauna.
She told the story with tears in her eyes.,Ta ba da labarin yayin da idanunta ke cike da hawaye.
She wanted to get away from everyday life.,So take ta huta da ayyukan yau da kullum.
She was advised by him to be more careful.,Shi ne ya ba ta shawarar cewa ta kula sosai.
She was advised by him to give up smoking.,Shi ne ya ba ta shawarar cewa ta daina shan taba.
She was asked to help him paint the house.,An roƙe ta da ta taimaka masa wajen fentin gidan.
"She was born at six a.m. on July 17, 1990.","An haife ta da misalin ƙarfe shida na safe a ranar 17 ga watan Yuli, shekarar 1990."
She was born in a remote village in Nepal.,An haife ta a wani ƙaramin ƙauye a ƙasar Nepal.
She was carrying a basket full of flowers.,Tana ɗauke da kwando wanda yake cike da fulawoyi.
She was late because of the heavy traffic.,Ta makara sakamakon matsanancin cunkoson ababen hawa.
She was so angry that she could not speak.,Ta ji takaici sosai saboda ba za ta iya magana ba.
She was so scared that she couldn't speak.,Ta ji tsorata sosai saboda ba za ta iya magana ba.
She was surprised when she heard the news.,Ta yi mamaki lokacin da ta ji labarin.
She was the only one to survive the crash.,Ita ce kaɗai ta tsira a haɗarin motar.
She was very beautiful when she was young.,Tana da kyau sosai lokacin da take ƙarama.
She went into the room and lay on the bed.,Ta shige cikin ɗakin sai ta kwanta a kan gado.
She won first prize in the speech contest.,Ita ce ta ci kyauta ta ɗaya a gasar jawabai.
She wondered where she had lost her purse.,Tana mamakin inda jakarta ta ɓata.
She's been learning German for a year now.,Tana koyon Jamusanci tsawon shekara ɗaya kenan yanzu.
She's too young to get a driver's license.,Ta yi ƙanƙanta ta samu lasisin tuƙi.
Shouldn't you be at home with your mother?,Shin bai kamata a ce yanzu kana gida da mahaifiyarka ba?
Shun will take over my job while I'm away.,Shun zai ci gaba da aikina idan ba na nan.
"Since I had a cold, I didn't go to school.","Da yake ina mura, ban je makaranta ba."
"Since it was Sunday, the store was closed.","Tun da yau Lahadi ce, kantin a rufe yake."
"Since the sun had set, we all headed home.","Tun da rana ta faɗi, sai dukkan mu muka tafi gida."
Since when do you care what anyone thinks?,Tun yaushe kake damuwa da abin da kowa yake tunani?
Singapore looks very nice in this picture.,Singapore ta yi kyau sosai a wannan hoton.
Six families live in this apartment house.,Iyalai shida ne suke zaune a wannan gidan benen.
Smoking is the major cause of lung cancer.,Shan taba shi ne babban abin da yake janyo kansar hunhu.
"So, what did you want to talk to me about?",To maganar me kake son ka yi min?
Some Americans joined the Communist Party.,Wasu Amurkawa sun shiga jam'iyyar Communist Party.
Some believe that seven is a lucky number.,Wasu sun yi imani da cewa lamba bakwai lamba ce ta sa'a.
Some fish are able to change their gender.,Wasu kifayen suna iya canja jinsinsu.
Some of the apples in the box were rotten.,Wasu daga cikin aful da ke cikin kwalin sun ruɓe.
Some of the students were late for school.,Wasu daga cikin ɗaliban sun makara a makaranta.
"Some people like cats, others prefer dogs.","Wasu mutanen sun fi son mage, wasu kuma sun fi son kare."
Some prisoners have escaped from the jail.,Wasu daga cikin fursunonin sun tsere daga kurkuku.
Someday I will buy a cotton candy machine.,Watarana zan siyi injin alawar swit kamfo.
Something green and slimy was on the rock.,Wani koren siririn abu yana kan dutsen.
Something still seems to be bothering Ali?.,Kamar dai har yanzu dai wani abin yana damun Ali.
Sometimes a dog can be a dangerous animal.,Wani lokacin kare zai iya zama dabba mai hatsari.
Space travel was thought to be impossible.,An yi zaton cewa tafiya zuwa sararin samaniya abu ne da ba zai yiwu ba.
Speaking English is very difficult for me.,Yin magana da turanci yana ba ni wahala.
Stand up straight when I'm talking to you!,Ka tsaya ƙyam idan ina yi maka magana!
Stop pretending you don't know the answer.,Ka daina nuna kamar ba ka san amsar ba.
"Strictly speaking, the earth is not round.","Magana ta gaskiya, ƙasa ba zagayayyiya ba ce."
Switch on the light. I can't see anything.,Ka kunna fitilar. Ba na iya ganin komai.
Taiwanese food is milder than Indian food.,Abincin 'yan ƙasar Taiwan bai kai na 'yan Indiya yaji ba.
Take care not to turn the box upside down.,Kula kar ka juya akwatun kai da gindi.
"Take your passport with you, just in case.","Ka ɗauki fasfo ɗinka, ko da wani abu zai taso."
Taking moderate exercise will do you good.,Motsa jiki na tsaka-tsaki zai taimaka maka.
Tell Ali I want to talk to him right away.,Ka faɗa wa Ali cewa ina son magana da shi yanzu-yanzu.
"Ten minutes later, our car ran out of gas.","Bayan minti goma, sai gas ɗin motarmu ya ƙare."
Texas is almost twice the size of Germany.,Birnin Texas ya yi kusan biyun girman ƙasar Jamus.
Thai is the official language in Thailand.,Thai shi ne yaren da ke yi a ƙasar Thailand a hukumance.
Thai is the official language of Thailand.,Thai shi ne yaren ƙasar Thailand a hukumance.
Thank you for coming on such short notice.,Na gode maka bisa zuwa da ka yi duk da an gayyace ka a ƙararren lokaci.
Thank you for setting the record straight.,Na gode maka da ka gyara maganarka.
Thank you for the present you gave my son.,Na gode maka bisa kyautar da ka ba wa ɗana
Thank you in advance for your cooperation.,Na gode maka bisa haɗin kai da ka bayar.
Thank you very much for all you have done.,Na gode maka sosai bisa dukkanin abubuwan da ka yi.
"That being the case, he had little to say.","Wannan shi ne, ba shi da abin faɗi."
That cut on your arm looks pretty serious.,Wannan yankan na hannunka ya yi muni sosai.
That doesn't mean that I'll stop doing it.,Hakan ba yana nufin zan daina aikatawa ba.
That is mine. I don't know where yours is.,"Wannan nawa ne, ban san inda naka yake ba."
That is the girl whose father is a doctor.,Waccan ce yarinyar da mahaifinta likita ne.
That sounds a lot easier to do than it is.,Wannan ya fi sauƙi a baki fiye da a aikace.
That store sells newspapers and magazines.,Wancan kantin suna siyar da jaridu da mujallu.
That street was very noisy during the day.,Wancan titin yana da hayaniya da rana.
That trio has already put out five albums.,Su ukun har sun fitar da album biyar.
That was a good joke. Tell us another one.,"Wannan kakaci ne mai daɗi, sake faɗa mana wani."
That was a terrible thing you said to Ali?.,Wannan mummunar maganar ka faɗa wa Ali?
That'll just have to wait until next week.,Dole hakan ya jira har zuwa mako mai zuwa.
"That's all you're interested in, isn't it?","Shi ke nan abin da kake da sha'awa, ko ba haka ba?"
That's an interesting-looking salt shaker.,Wannan mai zuba gishirin ya ƙayatar sosai.
That's the guy I saw steal Mary's handbag.,Wancan shi ne mutumin da na ga ya saci jakar hannu ta Mary.
That's the stupidest thing I've ever said.,Wannan ita ce magana mafi wauta da na taɓa faɗa.
That's the ugliest snowman I've ever seen.,Wannan shi ne mafi munin mutumin ƙanƙara da na taɓa gani.
That's what I wanted to talk to you about.,Wannan shi ne abin da nake son yi maka magan a kai.
The American economy suffered a recession.,Tattalin arziƙin ƙasar Amurka ya shiga zaizaya.
The Catholic Church is opposed to divorce.,Cocin Katolikar ba ta goyon bayan sakin.
The Japanese eat rice at least once a day.,Yan ƙasar Japan suna cin shinkafa aƙalla sau ɗaya a rana.
The Japanese economy grew by 4% last year.,Tattalin arziƙin ƙasar Japan ya ƙaru da kaso 4 cikin ɗari a shekarar da ta gabata. 
The Republican candidate won the election.,Ɗan takarar jam'iyyar Republican ya lashe zaɓe.
The Rhine runs between France and Germany.,Kogin Rhine ya bi tsakanin ƙasar Faransa da Jamus.
The United States is made up of 50 states.,Ƙasar Amurka na da jihohi guda 50.
The accident happened before my very eyes.,Hatsarin a kan idona ya faru.
The accident is still vivid in his memory.,Hatsarin yana nan ras a cikin ƙwaƙwalwarsa.
The actress always wears expensive jewels.,Yar wasan kwaikwayon tana sanya kayan ƙawa masu tsada a kodayaushe.
The airport was closed because of the fog.,An rufe filin sauka da tashin jirgen saboda hazo.
The apple does not fall far from the tree.,Tufar ba ta faɗo a nesa da bishiyar ba.
The apple trees blossomed early this year.,Bishiyoyin tufa sun yi fure da wuri a farkon wannan shekarar.
The audience consisted mainly of students.,Yawancin masu sauraren ɗalibai ne.
The beaches are less crowded in September.,Bakin tekuna suna kasancewa babu mutane sosai a watan Satumba.
The beer foamed over the top of the glass.,Giyar ta yi kumfa har saman kofin gilashin.
The book you're looking for is on my desk.,Littafin da kake nema yana kan teburina.
The boy cannot keep quiet for ten minutes.,Yaron ba zai iya yin shiru ba na minti goma.
The boys are still playing in the sandbox.,Har yanzu yaran na yin wasa a kan yashi.
The burglar pointed his gun at the victim.,Ɗan fashin ya nuna wanda abin ya ritsa da shi da bindigarsa.
The bus drivers are going on strike today.,Yau direbobin motar bas za su shiga yajin aiki.
The car stopped in the middle of the road.,Motar ta tsaya a tsakiyar hanya.
The car turned over and burst into flames.,Motar ta wuntsula ta kama da wuta.
The cat was not buried alive. He survived.,Ba a binne magen da ranta ba. Ya tsira da rai.
The cat was scared by an unfamiliar noise.,Magen ta tsorata ne da wata baƙon sauti.
The cherry blossoms are at their best now.,Yanzu ne bishiyar cherry ta ke yin fure mafi kyau.
The child offered a flower to the visitor.,Yaron ya ba wa baƙon fure.
The children are going to the beach today.,Yaran suna tafiya zuwa bakin teku a yau.
The children were playing in the backyard.,Yaran suna yin wasa a bayan gida.
The city supplied the needy with blankets.,Birnin ya samar wa da mabuƙata barguna.
The clock stopped. It needs a new battery.,"Agogon ya tsaya, yana buƙatar sabon batiri."
The company has changed hands three times.,Kamfanin ya samu canjin mamallaka har sau uku.
The company manufactures electrical goods.,Kamfanin yana ƙera kayayyakin wutar lantarki.
The company was in the red and went under.,Kamfanin ya samu karaya sai kuma ya rushe.
The concert came to an end at ten o'clock.,An gama taron ƙaɗe-kaɗen da ƙarfe goma daidai.
The conference was not a complete success.,Ba a cimma cikakkiyar nasara a taron ba.
The continent is abundant in fossil fuels.,Nahiyar tana da ma'adanai masu samar da lantarki sosai.
The conversation moved on to other topics.,Tattaunawar ta tsallaka zuwa sauran wasu batutuwa.
The cowboys rounded up the herd of cattle.,Makiyayan sun tattare garken shanun.
The difference in their ages is six years.,Bambancin shekarunsu shekara shida ne.
The doctor advised him to give up smoking.,Likitan ya ba shi shawarar ya daina shan taba.
The doctor advised me not to eat too much.,Likitan ya ba ni shawarar cewa kar na dinga cin abinci da yawa.
"The dog ate the fish, bones, tail and all.","Karen ya cinye kifin, kasusuwa, jela da komai."
The dogs barked furiously at the intruder.,Karnukan sun yi haushi a fusace ga masu kutsen.
The eel I caught last week is still alive.,Kifin eel da na kama makon da ya gabata har yanzu yana raye.
The election results were extremely close.,Sakamakon zaɓen ya yi matuƙar kusa sosai.
The events unfolded just as she predicted.,Abubuwan sun faru kamar yadda ta yi hasashe.
The exact date of Jesus' birth is unknown.,Ba a san haƙiƙanin ranar haihuwar Yesu ba.
The explorers ventured inside the caverns.,Masu binciken sun shiga cikin kogon.
The faucet in the bathroom's out of order.,Famfon cikin baɗakin ya lalace.
The fence will be painted by Ali tomorrow.,Ali ne zai yi wa katangar fenti gobe.
The firemen rushed into the burning house.,Masu aikin kashe gobarar sun yi sauri sun shiga gidan da yake ci da wuta.
The first step is the most important step.,Matakin farko shi ne mafi muhimmanci a cikin matakai.
The foreigner didn't know Japanese at all.,Baƙon bai iya Jafananci ba ko kaɗan.
The forest contains many different plants.,Dajin ya ƙunshi tsirrai daban-daban.
The future of mankind rests in your hands.,Makomar goben 'yan adam tana hannunka.
The game starts at two tomorrow afternoon.,Za a fara wasan gobe da misalin ƙarfe biyu na rana.
The garden can't be seen from the outside.,Ba a iya hango lambun daga waje.
The garden was covered with fallen leaves.,Ganyaye masu saukowa sun lulluɓe lambun.
The girl dressed in white is his fiancée.,"Yarinyar da ta sanya farin tufafi ita ce wacce zai aura
"
The girl had a long scarf around her neck.,Yarinya tana sanye da dogon mayafi a wuyanta.
The girl had no one to turn to for advice.,Yarinyar ba ta da wanda za ta je wajensa ya ba ta shawara.
The girl playing the piano is my daughter.,Yarinyar da take buga piano 'yata ce.
The girl who works at that bakery is cute.,Yarinyar da take aiki a wancan gidan biredin kyakkyawa ce.
The good news is that we don't have to go.,Labari mai daɗin kuma shi ne ba sai mun je ba.
The government tends to control the media.,Gwamnati tana yin ƙoƙarin sanya iyakoki ga kafafen watsa labarai.
The human brain weighs about three pounds.,Nauyin ƙwaƙwalwar ɗan Adam ya kusan kai fan uku.
The impact of science on society is great.,Tasirin kimiyya ga al'umma babba ne.
The injured were transported by ambulance.,An ɗauki waɗanda suka samu raunukan a motar asibiti.
The instant I saw him I knew he was angry.,A lokacin da na kalle shi na san ya yi fushi.
The jet plane had 500 passengers on board.,Jirgin saman yana da fasinjoji guda 500 da suka hau.
The kitchen sink was full of dirty dishes.,Wurin wanke-wanken kicin ɗin ya cika da ƙanzon abinci.
The lack of money is the root of all evil.,Rashin kuɗi shi ne tushen duk wani laifi.
The leaves of the trees began to turn red.,Ganyayen bishiyar sun fara komawa ja.
The library will issue you a library card.,Jami'an ɗakin karatun za su yi maka katin shiga ɗakin karatun.
The lion opened its huge mouth and roared.,Zakin ya buɗe ƙaton bakinsa ya yi gunji.
