english,ewe
"Barely twenty,",bla eve ko ene
The title is quite self-explanatory for more informed readers.,"na amesiwo xlea nu nyuie la ,tanya mekɔ ŋtɔ"
It was created in 99 and is basically an instrument of financial and diplomatic solidarity.,woɖoe anyi le ƒe akpe ɖeka alafa asieke blasieke vɔ asieke me be woanye kpekpeɖeŋu na gadimɔnu kple dunyawo
"However, he later regretted his attitude and did many things to ask God for forgiveness.",evee emegbe be yewɔ esia eye wowɔ nu nyuie bubuwo hebia tsɔtsɔke mawu
"They say that a man does not cry, but when faced with certain tragedies, it is impossible to hold back the tears,",wogblɔ be ŋutsu mefavi o gake le hlɔ̃ nya ɖewo me la mele bɔboe be woa dodzi o
"I hear people laughing""… they laugh at my youthful or senile naivety (what I saw in my country made me age).",mese be amewo lme nyekom le nye ɖekemanyamanya ta
»At what point did he become this mini-man who now knows how to say “please” and “thank you” without being called to order,ɣe ka ɣie wozu ame sie nya alesi si wo:dea kuku alo daa akpe le esime womega fianae oa
"Yves Dubreuil teaches Alan and the reader to react better to criticism and to convince others by putting themselves in their place,",Yves Dubreuil fianu Alan kple nuxlẽla be woateŋu ɖo nyaheɖemenuwo nyui aha he ame nalɔ̃ eƒe susu atsɔ eɖokui sɔ kplii
"There are still quite a few interesting things about this book, which you can discover by following the hashtag #BookTreeChallenge on Twitter,","nu geɖewo li miaga nya kuɖe agbãlɛ sia ŋu si miakpɔ le hashtag, kple BookTreeChallenge sur Twitter,"
Learning about the past could help us better understand the present and better prepare for the future,tsɔmenyanya ana miawɔ egbe ŋu nyuie hena tsɔ sigbɔna dzadzraɖo
I have trouble focusing on your voice,nyemele gbewo sem nyuie o
“This is the one your father gave me for our engagement,esiae fofowo nam hena miaƒe ŋugbedodo
"No matter how hard I try to determine its scent, I still can't put my finger on it.",medze agbagba gake nyemenya eƒe amiʋeʋĩ la o
He took the match and set the hut on fire.,Etsɔ dzoti la tɔdzo xɔa.
"The mechanic shows me his garage, and one of his apprentices comes to wait for me at the side of the road",ʋudzraɖola la do sɔli dɔwɔƒea nam eye dɔsrɔ̃vi ɖeka vanɔ dzɔyem le mɔa to
So see you at Day 18 in shaa Allah,miado go le ŋkeke 18 lia gbee ne allah lɔ ko
"Go see someone else, it doesn't concern me.","yidzi ame bubu, nya ma mekam o."
We must have the courage to recognize it: we systematically neglect the fact that we live in community.,na Eric Koumtouzoua la wogblɔ nu sia nu le Eseka ƒe dzɔgbevɔ̃e fɔku la ŋu vɔ
How many times a week?,Zi neni le kwasiɖa mee?
"Today, I no longer dream of being a doctor, or of creating these two hospitals, even if the need is still enormous","Egbea la, meganye nye susu be manye dɔyɔla alo matu dɔyɔƒe eve o togbɔ be amewo le hiã me hafi"
And these fears are unfortunately based on society's judgment of a person who is a victim of rape.,eye vɔvɔ sia tso ʋɔnu si amewo drɔ̃a ame siwo wodo avu na la me
You haven't taken too much of a position.,mienya akpa si dzi nele o
»“You work,woɑ ele dɔ wɔma
email * website * The question of returning the elevator is a point that particularly interests me.,atrɔ biabia ana ame la nye nya aɖe si ŋu mele ŋuku lem ɖo tɔxɛ
It was mainly because she gave very good advice and we laughed a lot together,ke ɖe nuxlɔame ta kple nukokodona ame tae
"Emphasizing awareness, the coordinator spoke of the lifting of the curfew in sealed off prefectures",ete gbe ɖe nuƒonamewo dzi eye wogblɔ be wole zamemanɔ la ɖe ge ɖa
That was all,gɔmeɖeɖea katãe ma
You will find wonderful examples to turn your business into a playground of ideas if you decide to read the book yourself,mixlẽ agbalẽa hena kpɔɖeŋuwo kpɔkpɔ
Today I wanted to remember it and share it with you,egbea meɖo ŋku edzi be mamae kpli mi
"After all we have a large Muslim population,",elabe moslemtɔ sɔgbɔ li
"I have priority on the right.,",mɔɖeɖe le nam be mayi ɖusi dzi
"Honestly, this is absolutely not a book that I would have gone to spontaneously.","menye agbalẽ aɖe si gbɔ mayi nenem ,ko o"
Really,nyawoa?
"Life was getting harder and harder in the land of the monkeys, the golos.",Agbea nɔ sesẽm ganɔ sesẽm ɖe edzi le kese golowo ƒe dua me.
The BlueBus arrived in 2012 but it was in 2014 that they began to be operated,ʋu siawo va tso ƒè 2012 ke gake ƒè 2014 hafi wodze wozaza
"To be content with something in silence and find it mediocre in one's mind, at an age and in certain situations, is to lack courage.","ne woɖo ƒè aɖewo la, womega bɔa nu ɖe nanewo dzi ahenɔ fu kpem le susume o"
"No, I don't owe you that much","ao, nyemenyi esia fe ɖe wo o"
"“is therefore the degrading treatment, on the part of the colonist and those of his brothers who had succeeded in resembling the white master.”",amedziɖulawo ƒe gbɔɖiame ye loo alo míanɔviwoe le esia wɔm
Malcolm Gladwell is an author who changes the way we see things and from whom we learn a lot,malcolm nye nuŋlɔla aɖe si atrɔ wo nukpɔkpɔ
Doesn't she live there?,De mele afi sia oa?
Parents need to be able to talk to their children.,ele be dzilawo naƒonu na woa viwo
"I’m done with the hotel and so I’m going to change inside in the toilets,” explained Bb Bouche Pointue",medzo le Hotel vɔ ekem mayi tsileƒea mayi ɖoli nu
There are enough millions on this damn card for you to give me a Youki,miliɔn gbogbo siwo le kaɖia dzi su be nadze yuki atukpa ɖeka nam
I am his prey,mezu adelɛ̃
"The doctor tries to reassure me,",dɔyɔla le kakaɖedi nam ŋu
"This must be deconstructed. """,ele be woabgaẽ
"7- Pray,",midogbeɖas
even though their lineage went back to Ishmael (as) and Ibrahim (as) who were monotheists,to egbɔ bewonye Ismael dzidzimewo kple abrahamtɔ hafi
"Hello my daughter,",ŋdi vinyenyɔnu
"Yes, very seriously",kple vevidonu aɖe
"There was danger, the excitement of the danger of being surprised",mienɔ vɔvɔm hã be woale mi
Embedded from Getty Imageswindow.,gettyimagesow mee woɖee tsoe
"It can train us to be kind, or it can train us to be cruel,” she said",akplɔ mi yi nunyuiwɔwɔ me alo ana miazu ŋjutasẽlawoe faa
"The student begs, but nothing helps",eɖe kuku ke hã wogbe
"Maria grew up in the Northeast region of Brazil,",Maria tsi le Bresil dziehe me
Its soil generally remains green and its subsoil rich.,eƒe anyigba dama eye anyigbame kesinɔnuwo le esi
I actually saw myself sniffing her long neck dressed in a discreet chain,mekpɔ ɖokuinye menɔ zƒe kɔ si dzi ɣlɔ sue aɖe le la ɖuɖɔm
"I couldn't stand trying to make her believe that she could trust me, and that she could stay with me",nyemete ŋu gale agbagba dzege be mana kakaɖedzii be nenɔ kakam ɖe dzinye o
"Kalilou came out of the hut, took his ring and said:","Kalilu do le eƒe xɔame, tsɔ asigɛa hegblɔ be,"
"If you don't do something right away, you will be eaten raw!","Ne mewɔ naɖeke kpata o la, woaɖuwo mumu."
"Just the heading calls out to me ""€¦!!! addressed.""","nyemetsi tsitre ,de fuɖeɖe ŋu elabe ame si ɖee la hã ɖo eƒe nynuɖeɖe o"
And even less when they are also applied in a higher school,vevitɔ ne wole wozam le suku
"The transaction was made without fees, as if it were a free player",woxɔe ƒe maxe abe home mele eŋu o ene
"I follow her into a room for the sample, while Madame Kouassi continues to wait in the waiting room.",mekplɔe dɔ yi xɔ sime woɖe ʋua nam le la le esime aƒenɔ Kouassi tsi amexɔƒea
"What is the story behind this song released in 1987, in the album “Révolution”",nu kae ɣla ɖe ha sia si le agba révolution mee
"but to take definitive action on the ills in our communities, it is time for young people to get involved as citizens. """,medi be maɖe nu sie mesusuna tso kamaladua kplɔlawo kple afrika nye adzigba si le vevienam kplɔlawo ŋue
"A photo to remind her how beautiful and strong she was,",foto aɖe fiae alesi wonyakpɔ kple woɖo ŋusẽ
"At first, Armelle asked me if we would make posts on Facebook to announce the camp",le gɔmedzedzea la Armelle nɔ biayembe ɖee miakaka nya le facebook dzikuɖe takpekpea ŋu maha
All the humiliations you suffered during your pregnancy ended up taking your life.,gbɔɖiamesiwo me neto le wò fufɔfɔ ƒfe ɣeyiɣi lae tsɔ wò de asi na ku
"I see here a commitment from Regina Yaou to defend the rights of women in our societies,",mekpɔ Regina yaou ƒe tameɖoɖo be yé aʋli nyɔnuwo ƒe dzenawo ta
"Blogger Yehni Djidji pointed out that there are even books priced at 500 and 1000 francs on the NEI CEDA and Edipresse publishing stand,",yaʋala nuŋlɔla Yehni Djidj gblɔ hã agbãlɛwo le afima le francs alafa atɔ̃ kple akpe ɖeka me le NEI tataƒea kple CEDA dɔwɔƒe
Kadio-Morokro has a good salary and two good positions but he is not unanimously accepted,kadio le fe nyuie xɔm kple ɖoƒe eve gake enu menyo ame sia ame ŋu o
"We almost want to hug Kambili, the narrator, to tell her that everything will end up getting better,",dzodzro va ame me be agblɔ na nuwɔla  Kambili be nusianu ayi nyuie
I can still keep up the pace for a few minutes,magate ŋu yi edzi miniti aɖewo
And I will say thank you,mada akpe na wo
– have a good knowledge of maintenance and cleaning techniques and products,anya nututunuwo ŋudɔwɔwɔ kple wo zaza
But we should at least put likes and reply to a few when necessary,"Gake enyo be wonɔ ""Like""-Enyo- dam ɖi na nya aɖewo"
She also talks about the difficult relationships between parents and children,Eƒo nu hã kuɖe kadede mabɔbɔe si nɔa dzilawo kple woviwo me la
The day progresses at a snail's pace and I have to make superhuman efforts not to explode,gamea mele tsɔtsɔ nam o eye mele ʋiʋlim be nyemega wo o
Several million francs will be disbursed to amicably resolve the crisis,miliɔn gbogbo aɖewoe yi dzome hafi woti nya la nue
He had lied to them.,Eda alakpa na wo.
"Tina was only allowed a few unhappy weekends, and even then",Tina la kwasiɖanuwuwu aɖewo koe nye etɔ ke hã
"These are the lands of our ancestors,",Míatɔgbuiwo ƒe anyigbãwoe
""""" ""» Click to share on Twitter (opens in a new window)",miezi edzi ale be miame le twuiter dzi
She tied her veil properly around her neck,ebla eƒe dzuku la ɖe kɔ nyuie
Or should I bring them to Diabalidia?,Alo makplɔ wo yi Diabalidia mahã?
It is according to,le nukpɔkpɔ nu
"You can buy “Vaudace” in electronic version on Kusoma,",miateŋu ƒlẽ «Vaudace» le Kusoma dzi
"€“ My mother forbade me to ride in a stranger's car,",dadanye de se nam be magaɖo ame bubu ƒe ʋu o
There were a total of 39 people registered for J’eulis and all received at least one book to read,ame 39 ŋlɔ ŋkɔ eye woxɔ agbalẽ ɖeka teti
"Since then, I have never seen him again","tso ema dzi la, nyemegakpɔe kpɔ o"
I know very few Ivorians who play tennis,Nyiɖuƒutatɔ sɔgbɔ meƒo tenis o
We shouldn't,ŋu naga kpe wo o
"Better still, we arrived in Lomé the same day and I found her in the airport waiting room",nye kplie yi lome le ŋkeke ɖeka dzi eye mekpɔe le yameʋudzeƒea
"A memory which was limited to the ban on the consumption of bush meat in Ivory Coast during the alert period,",ŋukuɖodzinu aɖe si ko le sedede kuɖe gbeme lã ɖuɖu le nyiɖuƒuta ɣeyiyi aɖewo
But to say what,ke nu ka woagblɔ
"Nothing is irremediable, and failing this time does not mean you will fail again next time.",neneke megloa wɔwɔ o eye miaƒe akɔya gege menye be miegale gege ge ake o
”It’s the voice of my colleague Christiane that I hear,christiane nye hadɔwɔlaƒe gbee nye ekem
There was a screening of the entire saga at the university cinema,Eye wole ekatã ɖege le sukukɔkɔa me
"» There are books where we sometimes feel that the author wants to display all the big words he knows,",le agbãlɛ aɖewo mela akpɔ nuŋlɔla di be yeaɖe nyagbe sesẽ siwo katã yé nyala ɖe go
I won an adult season and a kids season,"ke ne woatrɔ ameha gã aɖe la, mito hatsotso ʋe wo dzi boŋ"
"“Proposed by Edouard Tamba, the hashtag was adopted by everyone to discuss issues related to the October presidential election.”",woda asi ɖe Edouard Tamba ƒe nya si wògblɔ la dzi be yewoawɔ dzeɖoɖo le akɔdada la ŋu
» before placing a kiss on his cheek and disappearing into the darkness of the night,hafi wo gbugbɔ ase nae hebu ɖe vivitia me
Let's go get him right away!,Miyi ɖakplɔe va nam fifila..
“I thought you were worried about your daughter” I said to him without ending his hug.,mebui be viwo buŋue nele ŋu ɖomee esime wogale miayem ko
Haven't you gone crazy?,Ɖe mele gbegblẽm oa?
"In his arms, I will doze off, In peace",eye madɔ alɔ̃ le eƒe abɔwo mee
"The lion grabbed the hyena, lifted it high and threw it to the ground, pressing hard on its stomach.","Dzata le gana, kɔe dzi, xlãe ɖe anyi esime womia ywƒe ƒodo sesiẽ."
"If it hurts you to know that I too ended up leaving, like the others",ase veve be nyehã medzo abe ame mlɔeawo ke enea
"instead of going with your phone, grab a book",metsɔ agbalẽ enyo wu kaƒomɔ
"I started Googling stories about computers being stolen at the airport, and that reassured me that it was a theft,",medze nume kuku gɔme kuɖe aɖaŋuɖemɔwo ƒe bubu ŋu le google eye mekpɔ be wofi yé
M ap propte o!,Map prop teo o
"She showed me as an example every time my little sister did something stupid,",efiam kpɔɖeŋu na nɔvinye ɣesiayi si wowɔ nu gbegblẽ aɖe
I did not understand the need to create a specifically Islamic school of excellence,nyemese esiawɔwɔ gɔme gobii o
"He considers his brothers responsible for his punishment because he had been telling them for a long time that they should stop fishing,",etsɔ agɔdzedze na nɔviawo elabe egbe nawo be yewoanɔte ewɔwɔ
One girl and six boys,nyɔnuvi ɖeka kple ŋutsuvi adrẽ
People of justice are other protagonists of the processes at work.,ʋɔnudrɔ̃lawo ha nye amesiwo da asi ɖe afɔɖeɖe siwo ŋu wole be woale ŋuku ɖo la
"“I accept all this evil, which does not prevent me from thinking that “many things in this country deserve to be denounced. """,nyemenya kpɔ be  mieɖo dudɔnunɔla aɖe si kpɔa mɔ ɖɔli mɔwo ƒe nya gbɔ le du sia me o
Arguments and locations “are created to enhance it.,wodzi ɖoƒe kple taʋlinya be woazu nu si le etefe
"She turned on the television to keep us company,",esi dzidziƒe nukpɔ mɔ be yé anɔ mia gbɔ
"But in the event of divorce, “only the part of the dowry given in cash can be reimbursed","ke ne woklã la, agbã ƒe akpa si nye ga asiasi koe woaxe"
"I glanced at the bedside clock, which showed a few minutes past four.",mekpɔ game eye woƒe fɔ̃ɣli ga ene kple miniti aɖewo ko
"On Wednesday February 21, I took two readers from the Eulis Center, Elias and Coucouni, for an adventure in a recording studio,","kuɖa, dzodze 21lia me la, mekplɔ nuxlẽla eve tso Centre Eulis, Elias kple Coucouni yi kasɛti wɔƒe aɖe"
To lie,aɖa dzee
Sorry if Hervé comes back to every sentence,"mits,oe kem ne mele hervé ŋkɔ yɔm"
"Lined up from the start, he left the field after… 13 seconds, replaced by the Ukrainian Vladislav Khomoutov",wodze bɔl la gɔme kasia woɖii do le aɖabaƒoƒo 13 ko megbe
This habit of immersing myself in the state of mother nature was also an exercise,anɔ xexeame kpɔm nye nu si doa dzidzɔ nam
"We said no to the bus drivers who offered to take us to Lomé, one at 200 GHS and the other at 120 per person",mielɔ na bɔsu siwo be yewoakɔ mi cedis 200 alo 120 yi Lome o
It’s true that we didn’t see the time passing,nyawoe be miekpɔ gamea wole yiyim o
"Her husband is a womanizer,",Srɔ̃a nye atsidzila
"€“ 15 years,",ƒe wuiatɔ̃
"“I will inform patients of the decisions being considered, their reasons and their consequences.”","mana dɔnɔawo woanya le nyametsotso si miewɔ ,nusita miewɔ wo ɖo kple woƒe emetsonuwoe"
"And that education in Côte d'Ivoire suffers from many ills,",eye nyiɖuƒuta nufiafia le fukpem ŋutɔ
My father didn't understand either when I told him that I was going to leave IBSA to devote myself to the Eulis Center and my blog.,tɔnye hã mese eme esi mebe madzo le IBSA ahe wɔ yaʋaladɔ kple eulisdɔ o
You have shown your unconditional support.,Mieɖe miaƒe kpekpeɖewu tsimatɔetɔ ƒe dzesiawo fiã
"Thanks again to the CIE, Jeunesse Créa, Team 2A-D, and all those people who support me without expecting anything in return,","medakpe na  CIE, Jeunesse Créa, Team 2A-D kple amesiwo katã kpeɖe ŋunye megbe makpɔmakpɔ tɔe"
""" » comment * name * JavaScript is currently disabled.",alee kee
"In addition, in the center of the tomb, scientists found a bronze cauldron that could contain the ashes of the deceased",wokpɔ agba aɖe sime ameyinugbea ƒe afiwo la nɔ la hã le yɔdoia me
"Come on, come on, I'll move you forward a little,",enyo yi ʋuame madawo ɖe ŋugɔ vie
"We enjoyed the trip and the view of the falls,",Miekafu mɔzɔzɔ̃ la kple gegewo kpɔkpɔ
"Leila Marmelade's style is striking,",Leila Marmelade ƒe nuŋɔŋlɔ lɔ ame ɖeme
"Like the other wives of the Prophet Muhammad (saw), Khadija is considered one of the mothers of believers","abe profetasrɔ̃ bubuawo ene la, khadija nye xɔseatɔwo nɔwo dometɔ ɖeka"
I see things from my perspective and I have a strong opinion on the wrongs of both,mele nua kpɔm le gonye me eye mekpɔ mia dome ame ɖe sia ɖe ƒe vodadad
"The Chilean was not as strong a figure as Suarez within Barça, but he was one of the voices that carried",Chilitɔ la menye amegã aɖeke le bɔlƒoviwo dome o ke hã wosea eƒe gbe vevie
Allow me to climb this coconut tree to think and answer you.,Ɖemɔ malia neti sia eye maɖo eŋu nawo.
I've received so many threats from my other friends because of you that I don't know if I should really continue talking about you,xɔ̃nye sɔgbɔ tsɔ nya le ŋunye ɖe ta wo alebe nyemenya ne magaƒo  u tso ŋu wo o
"Life in the United States has taught me the importance of being useful to your community,",america gbenɔnɔ fiam alesi manɔ vevie na nye du
"“Involuntarily or not, the media are struggling to play their role.”","eɖanye woƒe dzrodzro nu alo oo,nyakaka dɔwɔlawo mele woƒe dɔdasi wɔm o"
"If you don't like it, move on, there are so many books to discover",ne ɖe meno ŋuwo o la xlẽ bubu
"I want him to be curious, open-minded and authentic with his faults and his qualities,","medi nenye numekula, anɔ faa kple eƒe gbɔdzɔgbɔdzɔ kpakple eƒe ŋusewo"
"“Thank you! The impact of these churches, and especially of the preachers, is minimized by the majority, yet the problem is very real.”",kuɣi la li gake amewo menya mawunyagblɔlawo ƒe dɔ ƒe asixɔxɔ o
"And God is witness to how many times you rebelled against me, refused to obey",eye Mawu ɖeka koe nya zi neni negbe nye gbe sese lae
"I read €œIn the company of men€ with a lump in my chest, and I recommend it to you,",mexlẽ «en compagnie des hommes» kple veve sese le akɔdzi eye mexlɔ̃ nu mi be miaxlẽ
The photo will be taken,woaɖe fotoa
"I was enrolled in catechism in CE2 class and I was baptized in 2005, in 6th grade",wodem katekismo le gɔmedzesuku xɔ ene me eye wole mawutsi nam le titina suku xɔ gbãtɔ me
He had never done it either,eya hã mewɔe kpɔ o
We realize that it is much more difficult to take a position and judge when we ourselves like the accused person.,mede dzesii be esesẽna be mite ɖa le ame sie mielɔna ŋu nenye be wotsɔ nya ɖe eŋue
"Friday, September 25, 2020
8:30 a.m. to 1:00 p.m.: Agoè Anokui, Sogbossito, Légbassito, Darakopé and their surroundings",ale ke miaɣla amewo ƒe nu esi me wole eɖem fia le yaʋalanuŋlɔƒe dzie
"But it is certain that certain times and places are much more conducive to reading than others,",gake teƒe kple ɣeyiyi aɖewo nyona nuxexlẽ
"“If the photo is false, the location of the derailment is that of the disaster.”",ɣetoɖoƒe nutoame dzikpɔla mehe ɖe megbe hafi ɖee gblɔ be alakpa ye o
"This time I behaved well, reassure you",meka ɖe edzi na mi be fifia la mewɔ ɖokuinye nyuie
"“There are, however, as in other holy books, passages that promote women, but they are little highlighted.”",teƒe le agbalẽ kɔkɔeawo me siwo de bubu nyɔnu ŋu gake womesɔ gbɔ o
"Dibahou is the paébou, the court chief of his family,",Dibahou nye paébou  tatɔ na eƒe ƒomea
"What should we believe,",nuka woa xɔse
"It's not always enough to love yourself, I tell you again","mesu ko be mialɔ mia nɔewo o, megale egblɔm ke"
I didn't realize it before buying it.,Nyemede dzesii alea hafi ƒlee o
"“If she hasn’t done it yet, then she really hasn’t taught us anything.”","ne ye ŋutɔ mekpɔ wɔ nusia o la,esia ɖe fia be mefia mí nu nyuí aɖeke o"
"Unfortunately we have prejudices when we don't know certain things,","dzɔgbevɔ̃e tɔe la, miéɖoa nukpɔ ɖe nanewo siwo miénya nyui o"
Sabin was a true inspiration at Elle Citoyenne.,sabin nye kpɔwɔe dzotsoƒe na dumevu nyɔnu geɖewo
"There are a few typos which I hope will be corrected for future editions,",vo dada viaɖewo le eme ke mexɔese be woaɖɔwo ɖo na tata yeyewo
All right,enyo
"Some girls got married, others had a child",Nyɔnuvi aɖewo ɖe srɔ̃ eye bubuwo hã dzi vi
Repetition can also play a role,nyagbugbɔgagblɔ hã le vevie
"My uncle who accompanied me to the sub-prefecture and who is used to the ""system"" was bursting with laughter at my annoyance.",atavinye si kplɔm yi fiɔha dɔwɔƒe la kom alegbegbe le alesi medo dziku la ta
"While dropping her off, however, he said to her:","Esi woɖii la, egblɔ nae azɔ be,"
2 – Read things that interest you,2- xlẽ nu si dzo wo la
"Not that feigned kindness that we sometimes serve to strangers,",menye aye tɔ ma si wotsɔna ame madzesiwo o
"“No, it’s not (just) recycling.”",menye asitɔtrɔ le nu ŋu ɖeɖe koe
That’s when a tiny turtle volunteers.,Ɣe yi ɣi ma mee klo sue aɖe lɔ be yeawɔe.
Because I told you I wanted you,elabe megblɔ nawpo be ele dzroyem
Tina thought again about the last five years,Tna gabu ƒè atɔ̃ siwo vayi la ŋu
I'm starving.,Dɔ le wunyem.
Yuval explains that we have two important choices to make,Yuval Noah Harari be tsatsiã ve kpɔ mo na  mi
Required fields are marked * Follow us on Facebook and participate in our debates!  Notify me of new posts by email.,mieɖo;:to mí le facebook dzi eye miadenu dzeɖoɖoawo me
Aristide's wife was informed by the Director of the Hotel in person of the death of her husband,Amedzrodzeƒedzikpɔla ŋutɔe aristide ƒe kunya la na srɔ̃a
Photo: A Perfect Heart comment * name * We're making a big deal about this accident but let's look at the dark thing with hindsight.,míawo katã míele asi lim afɔkunya sia ŋu gake mina míayi míaɖouiwo me le eŋu
"This ability to not let oneself be walked on,",ŋutete sia be mawɔ  nu to vo o
Afeez Agoro: this is the tallest man in Nigeria,Afeez Agoroe nye ameŋkuta gãtɔ wu le Nigeria
» “It certainly won't be like the first time anyone saw a television,manɔabe zi gbãtɔ sie ame a:ɖe kpɔ televoziɔ ene o
"It was wonderful to see the children's enthusiasm,",ɖeviawo ƒe dzidzɔ kpɔkpɔ nyo ŋutɔ
The budget is currently estimated at $200 million.,meganye nenema fifia o
"The newly created humanity began to roll with great noise, sometimes supporting itself on its hands and sometimes on its feet.","Ame siwo wowɔ teti ko la nɔ dzidzim ɖe edzi kple howɔwɔ gã aɖe, sẽ le asiwo dzi, sẽ le afɔwo dzi."
The most virulent only think about lining their pockets.,amesiwo wɔ tsukaɖa wu la dzi woawo ŋtɔwo tɔ gome
"We learn very interesting things, we have humor and suspense",nuviviwo sɔgbe le eme
"“Otherwise, even after years, the file will still be processed.”","ne menye alea o la,wò agbalẽ la makpɔ ŋuɖoɖo le ƒe geɖee megbe gɔhã o"
"This year, the choice was made on students at Le Paradis des Phénix, located in Yopougon Koweit",Le paradis des Phénix si nye suku le Yopougon Koweit la meviwoe le nuwo xɔm ƒè sia me
"Seeing her so helpless, he remembers thinking that his place was not in the street,","esi wokpɔ alesi meɖo ŋusẽ aɖeke o la, eɖoŋu be ye susu be yeƒe teƒe mele m:odome o"
email * website * Good evening Mrs.,"naneke mefia be mavan,o yaʋalanu ŋlɔm o"
"To protect yourself from the gaze of others,",adzo le ame bubuwo ƒe vlo dodowo gbɔ
This is where he spent his childhood and his first years at school.,afi mae wonɔ hedze suku dzi le
"The different paintings created are on sale at prices ranging from 25,000 to 50,000 Francs,",kpe vovovo si wo wɔ le ho me franc 25000 yi 50000
comment * name * I have too often been criticized for criticizing and doing nothing other than criticizing what is decided in Chad.,comment * name wogblɔa nam be nyemewɔa naneke wu be matsitre ɖe nyametsotso siwo katã wowɔa le Tchad le ŋu o
"What’s happening to you, little hedgehog?","Hlɔmadi sue, nukae le wɔwom?"
"So I always try to know all my figures, all my files, to work a lot upstream,",ke medzea agbagaba be be manya nye nawo do ŋugɔ hafi
"Moreover, this is one of the comments we received when we participated in the Orange social entrepreneurship competition in 2017.",Esia nye kpɔɖeŋu siwo miexɔ dometɔ ɖeka esi miekpɔ gome le hahodɔwɔƒeɖoɖo hoʋiʋli si Orange wɔ le fè 2017 lia me
Free to proclaim our reality rather than blending into a mold.,enyo be miagblɔ alesi miaƒ nɔnɲea le la fia wu be miaxla ɖe amewo te
He got up and went to see the father of the bride.,Etso yi ɖakpɔ srɔa ƒe fofo.
"She clenched her teeth to keep from bursting into tears, but couldn't stop the big tear from rolling down her right cheek.",ega kpe gla be yemagafa avi o kehã aɖatsi la sra to atsedzi nae
"When she moved from her native Zomadré to France, the goal was to become a nurse,",eƒe taɖodzinu enye be woatrɔ zu dɔyɔla le esime wodzo le Zomadré yi Frãse
"And again, even in these cases, we are not immune to prejudices",ke le esia me hã nysɔleameŋuwo medena o
Local journalists are openly threatened with sanctions if they “exceed established limits”.,wotsia denyakakadɔwɔlawo yome
None reacted because everyone assumed that someone else would do so.,ame aɖeke meʋli nae o elabe wole mɔ kpɔm be ame bubu awɔe
"However, a careful look reveals that certain places have not escaped skillful wandering hands","ke ne ele ŋku ɖe eŋu nyuie la, akpɔ be afi aɖewo meyi ɖe alɔ zazɛ aɖewo o"
"When we think of tourism in Cameroon, Chouchou is the reference","ne ebe yeaɖi tsa le kamalo la, ke kpɔ chouchou"
I really don't understand why we give such information without the slightest explanation.,nukata woɖe nu sia fia esime womena gɔmeɖeɖe aɖeke oa
Star couples do not have dark complexions.,srɔ̃tɔ adoduiwo mewɔa vivitime nu o
"The elephant, the big elephant is there, mourning the death of the Queen Mother.",Tiglinyi. Tiglinyi gã hã le fiasigã ƒe kua fam.
"This book was translated into French by Nouveaux Horizons editions and it is from it that I take the summary of Salman Khan's journey,",woɖe agbãlɛ sia gɔme le frãsɛ gbeme le Nouveaus Horizons tataƒe eye eyame meɖe lélé ƒoƒu sia le
All I had to do was wait to be called to fill out the form and biometric data.,"ne eganye fetu sue hã la ,edzea agbagba be yeawɔ eŋudɔ nyui"
exactly and it's always a pleasure.,edoa dzidzɔ nam kokoko
She is also the only one among her children to have lived until her death.,eyae koe nye via si nɔ agbe va se ɖe tɔa ƒe ku megbe
"But I ask anyway, out of politeness, out of compassion",ke mebiae le vevesename ta
"“Malika may be in a rural area, but the area is very charming and in some ways, it is better maintained than the city of Dakar.”",Malika le kɔƒe me gake duame nyo wu dakar ƒe afiaɖewo
"“I will only talk here about Charles Ndongo, I will not talk about all those whose footsteps he followed.”",nyemaƒonu le amesiwo katã yome wòdze la ŋu o; ke boŋ le Charles Ndongo ɖeɖe ko ŋu
"And I'll tell him what happens in the book I'm reading,",eye magblɔ nusi le dzɔdzɔm le agbãlɛ si xlẽm mele la me
"Elif Shafak shares with us the essence of Sufism,",Elif Shafak mã nusi nye soufisme kple mi
But very often we do this by gossiping about the other person,ke miewɔnae anɔ nyabaɖa gblɔm le evelia ŋu
"I'm going to stop there, and leave you with some of the quotes that I really liked",matɔ ɖe afii kple lododo aɖewo si le eme la me
How did he manage to seduce her?,aleke nwɔ wote ŋu hee ɖoe
"Today our target is mainly women,",miaƒe taɖodzinu egbea yenye nyɔnuwo
"In case you don’t know, Chimamanda N’gozi Adichie is my favorite author",minyae be Chimamanda N’gozi Adichie nye nuŋlɔla si melɔ̃a wu
"But this day reminded me of the joy of feeling useful to your community,",gake ŋukeke ma na meɖo ŋuku ɖagbe kple alesi na kpɔ be ye le vevie na yetɔwo
The door opened and it was my daughter who wanted to kiss me before going to school,"vɔa ʋu eye kpɔɖa, vinye nyɔnuvie be yeaklam hafi ayi suku"
At the end it was explained how to perform ablutions and prayer.,wofia le enuwuwu ale si woaklɔ ame ŋui kple woado gbe ɖae
"So I found myself at ESCP for a year,",ke mekpɔ ɖokuinye le ESCP le ƒe ɖeka megbe
"She never stops learning, training, and producing quality content,","medzudzɔ nusɔsrɔ̃, tutuɖo xɔxɔ kple nunyui ŋɔŋlɔ o"
The cat says:,"Dadi gblɔ be,"
"“To illustrate this part, I will talk about my clothing habits.”",màɖe teƒe sia gɔme kple alesi medzraa ɖoe
We may not say it verbally,miele egblɔ ge kple nu o
