anchor,positive
Please come in.,You can come in
Which one costs less?,Which is more affordable?
I am a little tired today.,Je suis un peu fatigué aujourd'hui.
I heard Airtel is leaving Ghana's telecom market. Is that true?,Mi nu akɛ Airtel miijie ehe kɛmiijɛ Ghana tɛlikom jarayeli lɛ mli. lɛ ji anɔkwale?
I have to get something better at all costs,makpɔ dɔ nyui bubu godoo
My tenants have failed to pay their rent.,Wɔn a wɔagye me dan no antumi antua wɔn dan ka.
How much are you selling this for?,How much do you want for this?
I'd like to know more about the credit management practices of Adansi Rural Bank Ltd in Ghana. Can you tell me about the target customers for their credit disbursement?,Miisumɔ ni male bɔ ni Adansi Rural Bank Limited ni yɔɔ Ghana lɛ tsuɔ shika he nii ehaa lɛ he saji babaoo. Ani obaanyɛ okɛɛ mi mɛi ni okɛ amɛ woɔ shika ni okɛwoɔ shikatoohe lɛ mli lɛ ahe sane?
I came across a research article about the household cost of diabetes mellitus in Ghana. Can you tell me more about the study and its objectives?,Miyana niiamlitaomɔ wolo ko ni kɔɔ weku shika ni yeɔ sikli hela he yɛ Ghana lɛ he. Ani obaanyɛ okɛɛ mi nikasemɔ lɛ kɛ otii ni yɔɔ mli lɛ ahe saji babaoo?
What is the current price?,What's the current selling price?
I planted water meron seeds in my garden.,Miduaa wɔtamelɔ aba wɔ me turo mu.
I'm interested in learning about weaning foods in Ghana. What are some strategies used to improve their nutritional value?,Miyɛ he miishɛɛ akɛ male niyenii ni ashɛrɛɔ ashwieɔ shi yɛ Ghana lɛ he sane. Mɛɛ gbɛi akɛtsuɔ nii koni akɛha amɛ niyenii mli hewalɛ aya hiɛ?
"We also learned how to produce a magazine thanks to an issue of Planète Okapi,",mesrɔ̃ alesi hã alesi hã miawɔ nya dzɔdzɔ gbãlɛ to Planète Okapi ƒe agbãlɛ aɖe dzi
I've heard that ATMs were invented by a man named Shepherd-Barron. Can you tell me more about him and how he came up with the idea?,Minu akɛ nuu ko ni atsɛɔ lɛ Shepherd-Barron lɛ ji mɔ ni fee ATM lɛ. Ani obaanyɛ okɛɛ mi ehe saji babaoo kɛ bɔ ni fee ni oná susumɔ lɛ?
Please help me.,"Mesrɛ mo, mommoa me."
What's happening with the food arrangements for frontline workers at the University of Ghana Medical Centre Intensive Care Unit?,Mɛni miiya nɔ yɛ niyenii ni asaa he ahaa nitsulɔi ni yɔɔ hiɛ yɛ helatsamɔhe ni akwɛɔ helatsɛmɛi ni hela mɔ amɛ yɛ University of Ghana Tsofafeemɔ He lɛ mli lɛ he?
What's your best price?,Can you reduce it a little?
Please.,If you please.
Some youths do not understand the importance of Education.,Mmabunu binom nte hia a Nhomasua ho hia no ase.
"All seed needs water, oxygen, and warmth to grow.","Aba nyinaa hia nsu, mframa pa, ne ɔhyew na ama anyin."
"What is the current water situation in Tamale, Ghana?","Te nu he shihilɛ yɔɔ ha tɛŋŋ yɛ Tamale, Ghana?"
People should preserve fish and get modern ways of displaying it to customers.,Ɛsɛ sɛ nkorɔfoɔ kora mpataa so na wɔnya nnɛyi akwan a wɔfa so de kyerɛ adetɔfoɔ.
Farmers have acquired an interest in rice growing.,Akuafo ani abegye ɛmo a wodua no ho.
What is the main finding of the research article regarding the impact of outsourcing on a firm's cost-efficiency and productivity?,Mɛni ji nɔ titri ni niiamlitaomɔ wolo lɛ na yɛ bɔ ni nitsumɔ ni akɛwoɔ mɛi krokomɛi adɛŋ lɛ saa gbɛjianɔtoo lɛ shika helɛtemɔ kɛ nitsumɔ he lɛ he?
What happened at Kejetia Market in Kumasi on the twenty-ninth of March in the year twenty twenty-one?,Mɛni ba yɛ Kejetia Jarayelihe ni yɔɔ Kumasi lɛ yɛ March nyɔŋmai enyɔ kɛ nɛɛhu lɛ nɔ afii nyɔŋmai enyɔ kɛ ekome?
What factors determine the quality of fresh citrus fruits during harvesting?,Mɛɛ nibii tsɔɔ bɔ ni citrus yibii heei lɛ hi ha yɛ kpamɔ be mli?
Hi,Hi
I've been trying to understand how ICT can help students learn economics. Can you explain how it fosters learner autonomy?,Miibɔ mɔdɛŋ ni manu bɔ ni ICT baanyɛ aye abua nikaselɔi ni amɛkase shika helɛtemɔ he nii lɛ shishi. Ani obaanyɛ otsɔɔ bɔ ni ehaa nikaselɔi lɛ yeɔ amɛhe nɔ amɛhaa lɛ mli?
Hello,Good to see you.
Foxes and leopards belong to the cat family.,Sakraman ne etwie nyinaa ka agyinamoa  abusua no ho
"Could you repeat that, please?","Mesrɛ wo, so wubetumi atĩ saa asɛm no mu?"
Businessmen pay a lot of taxes to the government.,Aguadifoɔ tua toɔ pii ma aban no.
I've been reading about the effects of phosphates on water quality. Can you explain how phosphates end up in water?,Mikane bɔ ni fosfat lɛ tsuɔ nii ehaa yɛ nu mli lɛ he sane. Ani obaanyɛ otsɔɔ bɔ ni fosfat lɛ baa naagbee yɛ nu mli lɛ mli?
I heard that Nana Konadu Agyeman-Rawlings paid tribute to some victims of a helicopter crash. Can you tell me more about this?,Minu akɛ Nana Konadu Agyeman-Rawlings wo mɛi komɛi ni gboi yɛ helikɔpta lɛ gbee shi lɛ ahiɛ nyam. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
I'm interested in learning more about the pricing strategies used by Ghanaian football clubs. Can you tell me about the strategies they use to sell players?,Miyɛ he miishɛɛ akɛ makase gbɛi ni Ghana bɔɔlutswaa kui kɛtsuɔ nii kɛwoɔ jara lɛ he nii babaoo. Kɛɛmɔ mi ŋaa ni okɛtsuɔ nii kɛhɔ̃ɔ shwɛlɔi lɛ he sane?
Who was named 'Male Personality of the Year' at the Ghana Executive Awards two thousand and twenty-five?,Akɛ ‘Afi lɛ Nuu’ lɛ ha lɛ yɛ Ghana Nɔyeli Kuu lɛ Awards 2025 lɛ mli?
Good to see you again.,Nice to see you back
I am doing well.,I am well.
Is this expensive?,Does this cost a lot?
Thank you.,Thank you so much.
What is the latest development in the Ghanaian automotive market?,Mɛni ji nɔ ni eba ehee yɛ Ghana tsɔnei ahe jarayeli mli?
I just read that the Ghanaian government needs a significant amount of money for external debt service in two thousand and twenty-four. Can you tell me more about this?,Mikane akɛ shika babaoo he miihia Ghana nɔyeli lɛ koni ekɛtsu maŋsɛɛ nyɔmɔ ni ewo lɛ he nii yɛ afi akpei enyɔ kɛ nyɔŋmai enyɔ kɛ ejwɛ mli. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
I bought those shoes at six thousand Ghanaiancedis.,Metɔɔ saa mpaboa no wɔ Ghana cedi no mpem nsia.
"The princess donated soap, clothes and food to the orphans.","Ɔhemmaa no de samina, ntade ne aduan maa nyisaa no."
"The predominant fauna or food rich wildlife and animal species encountered in the Ashanti Empire were the hen, sheep, goat, duck, turkey, rabbit, guinea fowl, fish, and the porcupine.","Mmoa anaa wuram mmoa ne mmoa ahodoɔ a wɔhyiaa wɔn wɔ Asante Ahennie no mu titire ne akokɔ, odwan, apɔnkye, dabodabo, kurokuro, adanko, guinea nnomaa, mpataa, ne kɔtɔkɔ."
Can I know the price first?,Ani manyɛ male jara lɛ klɛŋklɛŋ?
Nice to meet you.,It's nice to meet you.
I'm interested in learning more about the challenges of preserving fruits and vegetables in Ghana. Can you tell me about the methods used to prevent deterioration?,Miyɛ he miishɛɛ akɛ makase naagbai ni yɔɔ aduawai kɛ aduawai ni akɛtoɔ he yɛ Ghana lɛ ahe nii babaoo. Ani obaanyɛ okɛɛ mi gbɛi ni otsɔɔ nɔ otsiɔ nibii ni fiteɔ lɛ anaa?
The numbers of coronavirus disease have continued to increase slowly.,Coronavirus yareɛ dodoɔ akɔ so akɔ soro nkakrankakra.
I hated it just as much when he tried to get family news,evenam ne ele ƒomea ta biam se
Good to see you again.,Good seeing you again
"The Kpone Katamanso District officials will hold a meeting to discuss people's challenges, including the pressing issue of Ashaiman market lacking a public toilet.","Kpone Katamanso Mantam mu mpanyimfo bɛyɛ nhyiam bi de asusuw nkurɔfo nsɛnnennen ho, a asɛm a ɛho hia a ɛfa Ashaiman gua a enni ɔmanfo tiafi ho ka ho."
"What's the importance of customer retention for businesses in Ghana, according to a recent article?","Yɛ sane ko ni aŋma nyɛsɛɛ nɛɛ mli lɛ, Mɛni He Hiaa yɛ Nihɔɔlɔi Ahiɛ Kɛha Nitsumɔhei ni yɔɔ Ghana lɛ?"
What's the cost of all these?,How much for everything here?
How much are you selling this for?,What will you take for this?
I really appreciate it.,I truly appreciate that.
Can you tell me the price?,May I know the price?
How safe is the meat we buy from butcheries?,Nam a yɛtɔ fi mmeae a wokum nam no yɛ nea asiane biara nni ho dɛn?
I've been reading about the National Health Insurance Scheme (NHIS) in Ghana. Can you tell me more about how much people typically pay aside from their health insurance membership?,Mikaneɔ maŋ hewalɛnamɔ he inshɔransi gbɛjianɔtoo (NHIS) ni yɔɔ Ghana lɛ he sane. Ani obaanyɛ okɛɛ mi babaoo yɛ shika ni mɛi woɔ yɛ amɛ helatsamɔ he inshuɔrans mli bii lɛ asɛɛ lɛ he?
All school payments are to be postponed until end of the tragedy.,Ɛsɛ sɛ wɔtwe sukuu ka nyinaa kɔsi sɛ awerɛhosɛm no bɛba awiei.
Can you tell me the price?,Can you give me the price?
Some residents of our community earn money from selling stones.,Wɔn a wɔte yɛn mpɔtam hɔ no bi nya sika fi abo a wɔtɔn mu.
"What's the significance of rice in Ghana, and how does it impact the country's food policy?","Mɛni ji omɔ he hiamɔ yɛ Ghana, ni te enaa maŋ lɛ niyenii he mla lɛ nɔ hewalɛ ehaa tɛŋŋ?"
The food distributed was less than the number of people to receive it.,Na aduane a wɔrekyekyɛ no sua kyɛn nnipa a ɛsɛ sɛ wɔn nsa ka bi no.
I heard that the Dome market women in Accra are experiencing some health issues. What's causing their health problems?,Mi nu akɛ yei ni yɔɔ Dom Market ni yɔɔ Accra lɛ kɛ helai komɛi miikpe. Mɛni kɛ amɛgbɔmɔtsoŋ naagbai lɛ baa?
"And speaking of men, I finally see mine getting out of his taxi",ke mekpɔ srɔ̃nye wole dodom le tagzi me
What's the price of this item?,Can you tell me what this item costs?
Pending payments will be worked on the coming month.,Wɔbɛyɛ akatua a ɛda hɔ no ho adwuma bosome a ɛreba no mu.
I read that Heath Goldfields Ltd paid a significant amount to settle salary arrears. Can you tell me more about this?,Mikane akɛ Heath Goldfields Ltd ewo shika babaoo koni ekɛwo nyɔmɔwoo ni eshwɛ lɛ he nyɔmɔ. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
What did Finance Minister Dr. Cassiel Ato Forson say about borrowing from the international capital market?,"Mɛni Shika He Saji Ahe Nɔkwɛlɔ, Dr. Cassiel Ato Forson kɛɛ yɛ shika ni akɛfaa kɛjɛɔ majimaji ateŋ shikatoohe lɛ?"
"You can buy “Vaudace” in electronic version on Kusoma,",miateŋu ƒlẽ «Vaudace» le Kusoma dzi
I'm interested in learning more about sub-national governments in Ghana. How do they determine the cost of their developmental projects?,Miyɛ he miishɛɛ akɛ makase maji bibii anɔyelii ni yɔɔ Ghana lɛ ahe nii babaoo. Te amɛfeɔ tɛŋŋ amɛleɔ shika ni amɛkɛbaatsu amɛ shweremɔ nitsumɔi lɛ ahe nii?
How may I help you?,How may I be of help?
The machines help the farmers from removing the brown husks off the rice.,Mfidie no boa akuafoɔ no wɔ berɛ a wɔreyiyi nwura afiri mmoo mu.
People should be given alternative pieces of land.,Ɛsɛ sɛ wɔma nkorɔfoɔ asase foforɔ.
Girls are taught how to take care of a home once they are married.,Wɔkyerɛkyerɛ mmabea sɛnea wɔbɛhwɛ fie bere a wɔaware
"Thomas, professor of Sciences-Physics at the Collège Moderne de Mahapleu, told me that he would be happy to welcome me to his home.",Thomas si nye nuƒoxlame fiala le Mahpleu titina sukua me la be anye dzidzɔ na ye be mava yegbɔ
"She gave herself a deadline of one year to raise money and return to open a farm in her country,",etsɔ eɖokui na to yaʋala dzi ƒe ɖeka xekpɔ ga gbɔ va ɖo agble aɖe le eƒe du me
I heard the Ghana cedi has been doing well lately. Can you tell me more about it?,Mi nu akɛ Ghana CD lɛ miitsu nii jogbaŋŋ nyɛsɛɛ nɛɛ. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
He borrowed money from his father to set up a studio.,Ɔfɛm sika fii ne papa hɔ de sii studio.
"What's happening with Nigeria's state-owned oil company, NNPC Ltd, and fuel prices?","Mɛni miiya nɔ yɛ Nigeria mu nitsumɔhe ni maŋ lɛ kudɔɔ, NNPC Ltd, kɛ mu jara nɔ?"
Good morning,Good morning to you.
Can you explain the relationship between poverty and access to potable water in Ghana?,Ani obaanyɛ otsɔɔ wekukpaa ni kã ohia kɛ nu ni anuɔ ni anáa yɛ Ghana lɛ teŋ lɛ mli?
Maybe.,Maybe so.
The health centres should provide medical services at a reasonable price.,Ɛsɛ sɛ apɔmuden asoeɛ no de nnuruyɛ dwumadie ma a nteaseɛ wɔ ne boɔ no mu.
I am from Accra.,Accra ye metso.
"What is Ghana's goal for food self-sufficiency, and when does the government expect to achieve it?","Mɛni ji oti ni ma Ghana hiɛ akɛ ebaaná niyenii ni eye ehe, ni mɛɛ be nɔyeli lɛ kpaa gbɛ akɛ ebaashɛ enɛ he?"
Community leaders have closed a factory for polluting the water stream.,Mpɔtam hɔ akannifo ato adwumayɛbea bi mu esiane sɛ wɔde efĩ ba nsu asuten no mu nti.
Please come in.,You can come in now.
I'm trying to understand the simplex method for solving linear programming problems. Can you explain the basic steps involved?,Miibɔ mɔdɛŋ ni manu gbɛ ni yɔɔ mlɛo ni atsɔɔ nɔ atsuɔ linear programming naagbai ahe nii lɛ shishi. Ani obaanyɛ otsɔɔ gbɛi titrii ni kɔɔ he lɛ amli?
What is the importance of establishing a target cost in construction projects?,Mɛni ji sɛɛnamɔ ni yɔɔ shika ni ato he gbɛjianɔ yɛ tsumaa nitsumɔi amli lɛ he?
What's the latest news on fuel prices in Ghana?,Mɛni ji adafitswaa hee ni kɔɔ fuɛl jara he yɛ Ghana?
The community raised money for him to be transferred to another hospital.,Mpɔtam hɔfo boaboaa sika ano maa wɔde no kɔɔ ayaresabea foforo.
The village leaders have ensured the availability of regular water supply.,Akuraa no ase akannifo ahwɛ ahu sɛ wobenya nsu a wɔde ma daa.
"I'm interested in learning about the research on pito, a traditional drink in Ghana. Can you tell me more about the methods used to identify the moulds in the drink?","Miyɛ pito, ni ji kusum nii ni anuɔ yɛ Ghana lɛ he niiamlitaomɔ he miishɛɛ. Ani obaanyɛ okɛɛ mi gbɛi ni atsɔɔ nɔ ayɔseɔ ŋmeii ni yɔɔ nibii ni anuɔ lɛ amli lɛ ahe saji babaoo?"
My friend kindly invited me to attend her wedding ceremony.,M’adamfo no fi ayamye mu too nsa frɛɛ me sɛ memmra n’ayeforohyia guabɔ no ase.
Officially one that has made a payment should be given a receipt.,"Wɔ aban kwan so no, ɛsɛ sɛ wɔma obi a watua sika no krataa a wɔde di adanse."
I've been trying to understand the challenges associated with weight loss programs in Ghana. Can you provide some insights on this topic?,Mibɔ mɔdɛŋ ni manu naagbai ni yɔɔ gbɛjianɔtoi ni akɛbaagbɔjɔ gbɔmɔtso lɛ he yɛ Ghana lɛ shishi. Ani obaanyɛ okɛ shishinumɔ ko aha yɛ saneyitso nɛɛ he?
People's names also differ according to their tribes.,Nkorɔfoɔ din gyina wɔn mmusuakuo so sesa.
Parents are advised to raise more money to cater for structural development .,Wɔtu awofo fo sɛ wɔmpɛ sika pii mfa nni nhyehyɛeɛ mu nkɔsoɔ ho dwuma.
What's the arrangement for paying winning bonuses to the Black Stars technical team?,Mɛni ji gbɛjianɔtoo ni ato koni akɛwo Black Stars ŋaa kuu lɛ nyɔmɔ ni akɛyeɔ kunim lɛ?
No problem.,No worries at all.
The district has sensitized people to create food reserves in their homes.,Ɔmantam no ama nkurɔfo ate nka sɛ wɔnyɛ aduan a wɔde besie wɔ wɔn afie mu.
Her option of lowering prices to entice more customers failed.,Ɔkwan a ɔfaa so sɛ ɔbɛtew nneɛma bo so de atwetwe adetɔfo pii no ankosi hwee.
"“This means that the apartment cannot be sold, given away, or mortgaged,” specifies Kira Iarmich, in a video posted on Twitter",Kira Iarmich gblɔ le nɔnɔmetata si woɖe ɖe go me be womate ŋu asa aƒea alo atsɔe ana ame alo adee awoba o
"Finally, this evening, I want to express my gratitude to Al-Khaliq, the Creator",ye metsɔ nye akpedadawo katã na Allah mia ɖola la
I'm trying to understand the concept of cointegration in the context of economic time series. Can you explain it to me?,Miibɔ mɔdɛŋ ni manu shishinumɔ ni ji convergence lɛ shishi yɛ shika helɛtemɔ be mli nibii amli. obaanyɛ otsɔɔ mi mli
"I'm interested in learning more about customer service in the banking industry, specifically in Ghana. Can you tell me about a study that analyzed the customer service of Ecobank Ghana Limited?","Miyɛ he miishɛɛ akɛ makase nibii babaoo ni kɔɔ mɛi ni heɔ nii yɛ shikatoohe lɛ ahe, titri lɛ yɛ Ghana. Ani obaanyɛ okɛɛ mi nikasemɔ ko ni pɛi Ecobank Ghana Limited lɛ nitsumɔ mli lɛ he sane?"
The minister donated twenty bags of cement in renovation of the council building.,Ɔsoafoɔ no de Sɛmɛnte (Cement) kotokuo aduonu maae sɛ wɔmfa nsiesie afotufoɔ dan no.
I'm trying to understand the basics of graph theory and algorithms. Can you explain Dijkstra's algorithm and its applications?,Miibɔ mɔdɛŋ ni manu shishitoo mlai ni kɔɔ graph theory kɛ algorithms he lɛ shishi. Ani obaanyɛ otsɔɔ Dijkstra algorithm lɛ kɛ bɔ ni akɛtsuɔ nii ahaa lɛ mli?
"at length in fact, since I was still present when she began to distribute the food into various containers","dzidzie, elabe menɔ anyi hafi wole nuawo kam de agbawo me"
How much for two?,How much is two?
"I read that Kalybos, a Ghanaian actor and comedian, received a large sum of money from a fan. What happened?",Mikane akɛ Ghana sini mli shwɛlɔ kɛ shwɛlɔ Kalibos nine shɛ shika babaoo nɔ kɛjɛ mɔ ko ni sumɔɔ sini lɛ dɛŋ. meni ba?
Learning about the past could help us better understand the present and better prepare for the future,tsɔmenyanya ana miawɔ egbe ŋu nyuie hena tsɔ sigbɔna dzadzraɖo
How much are you selling this for?,Tu vends ça à combien ?
Thank you for coming.,Thank you for your time.
"In addition, the gentleman pays a dowry and one or more rings of 10,000 carats that he will offer her for their engagement and their wedding,","gawu la, ŋutsu na tabianu kple alɔgavi xɔasiwo si woatsɔ na le woƒe srɔ̃ɖeɖe me"
The government advises people to use family planning.,Aban no hyɛ ɔmanfoɔ no nkuran sɛ wɔmfa abɛɛfo kwan so ntete wɔn awoɔ mu
Farmers should control their animals as people acquire income from selling their fruits.,Ɛsɛ sɛ akuafo hwɛ wɔn mmoa so efisɛ nkurɔfo nya wɔn nnuaba ho sika.
How old are you?,May I ask your age?
"On the sixth of August in the year twenty twenty-one, President Akufo-Addo bid farewell to two envoys. Who were they?","Yɛ August gbi ni ji ekpaa lɛ nɔ afii nyɔŋmai enyɔ kɛ ekome lɛ, Maŋtsɛ Akufo-Addo kɛ najiaŋdamɔlɔi enyɔ fã gbɛ. Namɛi ji amɛ?"
Nice to meet you.,It is good meeting you
I've heard that microbial contamination of irrigation water and vegetables is a significant issue in Ghana. Can you tell me more about the current state of research in this area?,Minu akɛ nu ni akɛshwieɔ shi kɛ aduawai amli helai bibii ni fiteɔ lɛ ji sane ko ni he hiaa waa yɛ Ghana. Ani obaanyɛ okɛɛ mi bɔ ni niiamlitaomɔ ni yɔɔ nɛkɛ he nɛɛ yɔɔ ha lɛ he saji babaoo?
Welcome,Welcome in.
I just read a report that said the cost of a healthy diet in Ghana has increased significantly. Can you tell me more about this?,Mikane amaniɛbɔɔ ko ni tsɔɔ akɛ niyenii ni haa mɔ he waa lɛ jara etee ŋwɛi shɔɔŋ yɛ Ghana. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
Can I help you find something?,Puis-je vous aider à trouver quelque chose ?
You're welcome.,Vous êtes les bienvenus.
How old are you?,Afii enyiɛ oye?
I've been reading about the risks of norovirus gastroenteritis from consuming vegetables irrigated with wastewater in Ghana. Can you tell me more about this?,Mikane nɔ ni norovirus gastroenteritis ni jɛɔ aduawai ni akɛwoɔ nu ni mli ewo muji mli lɛ mli baa yɛ Ghana lɛ he sane. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
"In addition, not everyone has the means to buy books and many people depend on state structures,","gawu la, amesiame meɖo mɔnukpɔkpɔ aflẽ agbãlɛwo o, eye fiohaɖoɖowo kpɔa ame geɖewo gbɔ"
Can you give me today's price?,What's today's selling price?
"The Kpone Katamanso District officials will hold a meeting to discuss people's challenges, including the pressing issue of Ashaiman market lacking a public toilet.","Kpone Katamanso Mansini no mu mpanimfoɔ bɛyɛ nhyiamu bi de asusu ɔmanfoɔ no haw ho, a Ashaiman dwa a agyananbea nni mu no nso ka ho."
How are you?,Comment vas-tu?
You're welcome here.,You are welcome
You must buy a cultural marriage certificate for a successful introduction.,Ɛsɛ sɛ wotɔ amammerɛ mu awareɛ nkrataa sɛdeɛ ɛbɛyɛ wo nhunuanimu bɛyɛ kama.
Is this expensive?,Is this costly?
"For a doctor to serve well , he needs to be well paid.","Sɛ oduruyɛfo bi bɛsom yiye a, ɛsɛ sɛ wotua no ka yiye."
What's your best price?,Nukae nye wò asi nyuitɔ kekeake?
Good evening,"Good evening, madam."
David told me to pay attention and that it might be my bus,David gblɔ nam be maɖo ŋu ɖo elabe ate ŋu anye nye ʋu la
Hi,Good to see you.
Not too bad.,Ejeee nɔ ni ehiii tsɔ.
The people have clean sources of water supply.,Nkurɔfo no wɔ nsu fibea ahorow a ɛho tew.
Have a seat.,Take a chair.
What would you like to buy?,What would you like to shop for?
I heard about a new song by Strongman. What's the name of the song?,Minu lala hee ko ni kɔɔ Strongman he. Mɛni ji lala lɛ gbɛi?
The education system is too expensive to be afforded by everyone.,Nwomasua no boɔ yɛ den dodo sɛ obiara bɛtumi atua ɛho ka.
I am the eighth child in a family of eleven.,Meyɛ abofra a meto so awotwe wɔ abusua a emufo yɛ du-baako mu.
And you had to repeat the operation two or three times during the day,eye nawɔ esia zi eve alo etɔ̃ le ŋkekea me
What's the cost of all these?,Quel est le coût de tout cela ?
"“years have passed since you left, until now I have not yet said Goodbye to you, at least not in my own way.”",ƒe geɖewo enye esia esi nedzo gake nyeŋutɔ nyemedo hede nyui nawò haɖe l
The last one was more than a year ago and thank God he will continue his professional adventure in other lands.,ame mamlɔetɔ wɔ wu ƒè ɖeka eye wokpɔ ɖo bubu fifia
Nice to meet you.,Pleased to meet you
Who was named Fintech Executive of the Year at the Ghana Executive Awards two thousand and twenty-five?,Ahala lɛ akɛ 2025 FinTech Nɔkwɛlɔ ni Fe Fɛɛ yɛ Ghana Nɔkwɛlɔi Awards lɛ mli?
"“Please know how powerful your voice and presence are and never stop sharing these gifts with others,”","« Please know how powerful your voice and presence are and never stop sharing these gifts with others »,"
Poverty is the leading cause of people selling the cows.,Ohia ne ade titiri a ɛma nkurɔfo tɔn anantwie no.
Hello,Greetings.
The municipal council needs to carry out water extension services in other areas.,Mansini no kansele no hia sɛ wɔde nsua kɔ nkuro ahodoɔ mu wɔ mmeaeɛ nkae no.
"Abena gave her son a sweet to calm him down, and she bathes her baby with warm water.","Abena maa ne ba no aduane dɛdɛ sɛ ɔma ne bo dwo, na ɔde nsuo a ɛyɛ hyeɛ guare ne ba no."
Some people did not understand that these key expressions had nothing to do with free laptops or the latest tractors.,ame aɖewo mese egɔme o be  kadede aɖeke mele nusiawo katã me o
It is your responsibility to take care of your life and hence it is not good to prepare food in a dirty place.,Ɛyɛ w’asɛdeɛ sɛ wobɛhwɛ w’asetena so na ɛno nti ɛnyɛ papa sɛ wobɛsiesie aduane wɔ baabi a ɛho ntew.
What's the price of this item?,What's your selling price?
Can you tell me the price?,Àte ŋu agblɔ ga si woaxe nam?
How much per kilogram?,Ɛka ahe wɔ kilogram biara mu?
The food truck is his main source of income.,Ɔnya ne sika nyinaa firi aduane a ɔtɔn no lɔre mu no mu.
I'm interested in learning about water analysis. Can you explain the process of determining total hardness in water?,Miyɛ nu mlipɛimɔ he miishɛɛ. Ani obaanyɛ otsɔɔ gbɛ ni atsɔɔ nɔ aleɔ bɔ ni nu mli wa ha kwraa lɛ mli?
"The first manager of the hotel reported the facts as they happened, while avoiding mentioning the chambermaids.",dzikpɔla la gblɔ ale si nuawo va eme ke meyɔ xɔmedzraɖolawo ŋkɔ o
Read a man up to the task 1Read a man up to the task 2“Good evening sir,mixlẽ un homme à la hauteur 1 kple un homme à la hauteur 2 fiɛ na wo aƒetɔ
What was the purpose of the Climate Education Summit held at Radach Hotel in Tamale on the twenty-fifth of November in the year twenty twenty-five?,"Mɛni ji yiŋtoo ni yɔɔ kɔɔyɔŋ tsakemɔ he nikasemɔ kpee ni afee yɛ November 25, afii nyɔŋmai enyɔ kɛ enumɔ ni eho nɛ yɛ Radach Hotel lɛ sɛɛ?"
I heard Reggie Rockstone is going to receive an honorary award at the Ghana Music Awards UK two thousand and twenty-two point  wattshat is the name of the award?,Mi nu akɛ Reggie Rockstone miiya ni enine ashɛ woo nɔ yɛ Ghana Lala Awards UK akpei enyɔ kɛ nyɔŋmai enyɔ kɛ enyɔ mli nɔ ni ji gbɛi ni akɛwoɔ jweremɔ nii lɛ nɔ?
"All this with the aim of helping our economy and supporting our farmers and producers""€¦!!! Thank you Anne Marie C.",Anne Marie C. Akpe na wò ɖe wò kpekpeɖeŋu si nèwɔ na míaƒe gbledede kple ganyawo la
Airbnb: Cape Coast / Accra / Lomé Hotel Résidence les Cocotiers: Cotonou,Airbnb : Cape Coast  / Accra / Lomé Hôtel Résidence les Cocotiers : Cotonou
Cocoa farmers are assured of a market for their produce.,Wɔma koko akuafo awerɛhyem sɛ wobenya gua a wɔde bɛtɔ wɔn nnɔbae.
What is the EDC Money Market Fund and what is its main objective?,Mɛni ji EDC shika jarayeli shikatoohe ni mɛni ji oti titri ni ma ehiɛ?
"What are some common hazards associated with food, particularly in the context of aquatic products?","Mɛni ji osharai komɛi ni afɔɔ namɔ yɛ niyenii he, titri lɛ yɛ nu mli nibii ahe?"
Good morning,Leebi kpakpa
And you?,Ne wo?
How can a health facility be managed without money?,Ɔkwan bɛn so na wobetumi ahwɛ akwahosan ho adwumayɛbea bi so a sika nni hɔ?
I heard that the Food and Beverage Importers Association is planning to reduce prices of some foodstuffs and products. Is this true?,Minu akɛ Niyenii kɛ Nibii ni Anuɔ ni Akɛbaa Maŋsɛɛ lɛ Kuu lɛ miifee gbɛjianɔ koni eba niyenii kɛ nibii komɛi ahe jara shi. Ani enɛ ji anɔkwale?
"I'm interested in learning about the process of creating a mixed-media art piece using wood, fabric, and other materials. Can you describe the initial steps in creating such a piece?","Miyɛ gbɛ ni atsɔɔ nɔ afeɔ mixed media art ni akɛ tsei, atadei kɛ nibii krokomɛi tsuɔ nii yɛ mli lɛ he miishɛɛ. Ani obaanyɛ otsɔɔ klɛŋklɛŋ gbɛi ni atsɔɔ nɔ afeɔ fã ni tamɔ nɛkɛ?"
Can you give me today's price?,How much are you selling it today?
How much is this?,Ga home nenie nye esia?
"What is the name of the NSMQ semi-finalist who received the Academic City presidential scholarship, and what is the value of the scholarship?","Mɛni ji NSMQ semi-finalist ni enine shɛ Academic City Nɔyeli Shika lɛ nɔ lɛ gbɛi, ni shika ni akɛhaa lɛ jara ji enyiɛ?"
Let us keep the togetherness at all costs.,Momma yɛmma nkabom no nkɔ so sɛnea ɛte biara.
Welcome,"Welcome, please come in."
I heard that fuel prices in Ghana are expected to rise. Can you confirm this and provide more details?,Minu akɛ ekolɛ fuɛl jara baaya ŋwɛi yɛ Ghana. Ani obaanyɛ oma enɛ nɔ mi ni okɛ saji krokomɛi aha?
Bar owners should understand the challenges of their business.,Ɛsɛ sɛ asanombea wuranom te nsɛnnennen a ɛwɔ wɔn adwuma no mu ase.
