English,Hausa
His illness resulted from drinking too much.,Rashin lafiyarsa ya samu ne sakamakon shan giya da yawa.
His job is to negotiate with foreign buyers.,Aikinsa shi ne tattaunawa da masu siyan kaya na ƙasashen waje.
How far is it from the airport to the hotel?,Yaya nisa yake daga filin sauka da tashin jirage zuwa otal?
How many cups of coffee did you drink today?,Kofi nawa ka sha na kofi a yau?
How much money did Ali take out of the bank?,Nawa ne adadin kuɗin da Ali ya ciro daga banki?
I am accustomed to eating this sort of food.,Na saba cin abinci irin wannan.
I ate some bread and a boiled egg for lunch.,Na cinye wani biredi da kuma dafaffen ƙwai a abincin rana.
I bought him a drink in return for his help.,Na siya masa abin sha sakamakon taimakon da ya yi min.
I calculated that it would cost 300 dollars.,Na lissafa zai ci dala 300.
I demanded that he pay the bill immediately.,Na nemi da ya biya kuɗin nan take.
I don't feel like having Chinese food today.,Ba na jin son cin abincin 'yan ƙasar Sin yau.
I found this book in a secondhand bookstore.,Na samu wannan littafin ne a shagon siyar da littattafan da aka yi amfani da su.
I had a little difficulty in getting a taxi.,Ina shan wahala kaɗan wajen samun tasi.
I have a lot of money in my savings account.,Ina da kuɗi da yawa cikin asusun ajiyata.
I have abandoned the idea of buying a house.,Na ajiye tunanin siyan gida.
"I have plenty of time, but not enough money.","Ina da lokaci sosai, amma babu isashshen kuɗi."
